moment,total_degree,stage9_finite_mixture,grad_hyqmom,fine_qmc_mean,fine_qmc_sem,particle_mean,particle_sem,stage9_minus_qmc_scaled,grad_minus_qmc_scaled,particle_minus_qmc_scaled
M026,8,8.250981984269368,8.135501738555487,8.2617172796527,0.03784949087625321,7.481866246435545,0.23413887334399405,-0.010735295383332413,-0.1262155410972136,-0.7798510332171561
M035,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M044,8,4.97202375769622,4.862497701761129,4.897872265756722,0.01601079141297925,4.433084588966861,0.26264644693786093,0.07415149193949776,-0.035374563995593404,-0.4647876767898615
M053,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M062,8,8.250981984269396,8.13550173855549,7.978422539892756,0.018749556915403448,7.5828497291778865,0.531287448317008,0.2725594443766401,0.157079198662734,-0.39557281071487044
M071,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M080,8,57.00673845547144,57.47568530015955,54.77633631551424,0.14783506642911795,52.41895002595248,4.00102142303729,2.2304021399572025,2.699348984645308,-2.3573862895617625
M107,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M116,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M125,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M134,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M143,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M152,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M161,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M170,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M206,8,12.129014710855213,11.731135191029217,10.87450380083673,0.03831749934545184,11.12095481584204,0.18103756460381432,1.2545109100184852,0.8566313901924894,0.24645101500531152
M215,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M224,8,2.448545514348694,2.336405662298806,2.2352322876251813,0.006341081372376979,2.29116263159864,0.10188611440329197,0.213313226723513,0.10117337467362489,0.05593034397345872
M233,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M242,8,2.4485455143486954,2.336405662298807,2.1678515884253535,0.011501788812255285,2.325891211974231,0.09704523765314746,0.28069392592334225,0.16855407387345367,0.15803962354887768
M251,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M260,8,12.129014710855232,11.731135191029217,11.116904630388746,0.03388079509073037,11.637430581148617,0.44497248969026776,1.012110080466488,0.6142305606404727,0.5205259507598725
M305,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M314,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M323,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M332,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M341,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M350,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M404,8,9.883391065421995,9.44755527711834,9.160055504737526,0.03529848912495386,9.417891186477071,0.22500563124424677,0.7233355606844692,0.2874997723808143,0.2578356817395452
M413,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M422,8,3.311043438140659,3.1483054055892596,3.1651833202822903,0.0075084351840343,3.2260850416216336,0.1079044545035447,0.14586011785836892,-0.016877914693030703,0.06090172133934332
M431,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M440,8,9.883391065421987,9.447555277118338,9.273248348445353,0.014156179910466065,9.582502482548701,0.24812623219674176,0.610142716976635,0.17430692867298547,0.3092541341033485
M503,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M512,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M521,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M530,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M602,8,21.103738408549024,20.812551427616974,20.851084771187224,0.07439226470530218,20.435925139227756,0.4663374569697006,0.2526536373617997,-0.03853334357025067,-0.41515963195946937
M611,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M620,8,21.10373840854898,20.81255142761697,21.019607967224093,0.044623539329192455,20.72312125533776,0.7576688311267741,0.0841304413248879,-0.2070565396071234,-0.29648671188633496
M701,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M710,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M800,8,181.47951339052997,193.0419368386918,181.8666910386138,0.8244368062085866,180.13621924883438,6.426501634776413,-0.3871776480838212,11.17524580007803,-1.730471789779417
