points_per_component,total_positive_nodes,independent_scramblings,elapsed_seconds_sum,M400_error_vs_particle,M400_error_vs_qmc,M400_scramble_relative_spread,passes_3pct_reference_envelope,minimum_realizability_margin,maximum_energy_drift
512,1024,4,2.7723122389943455,0.03427284738058508,0.025886888981409725,0.04774282790572599,False,0.000597302169154296,1.3322676295501878e-14
1024,2048,4,3.9600954849956906,0.016666515372365645,0.010965952258593249,0.023193089971535224,True,0.0006178504208853163,2.0872192862952943e-14
2048,4096,4,6.207367654002155,0.011023769769040995,0.009875205340368329,0.028315689361656907,True,0.0006207770162049088,2.7977620220553945e-14
4096,8192,4,10.84873940700345,0.015788579298356035,0.013853120377046411,0.016188868927445782,True,0.0006209685092006882,4.3520742565306136e-14
8192,16384,4,20.051967549989058,0.004452864014044479,0.011987102432509937,0.014008957295757596,True,0.0006225776929981408,5.995204332975845e-14
