candidate,elapsed_seconds,minimum_realizability_margin,limited_steps,minimum_lambda,all_35_dimensionless_history_relative_l2,all_35_relaxation_change_relative_l2,fourth_order_componentwise_dimensionless_rmse,fourth_order_dimensionless_history_relative_l2,M400_history_relative_l2,M300_history_relative_l2,heat_flux_history_relative_l2,passes_3pct_M400_gate
algebraic_base,15.499661397996533,0.0007124701964840507,0,1.0,0.18873693898129107,0.31618105691679016,2.307833389151433,0.19139454708286047,0.18990213336550552,0.004688356147772272,0.004443912401199047,False
algebraic_residual,16.208980406998307,9.994450962909782e-13,87,0.513859169925459,0.22058224506545712,0.36952982155119174,2.6962245807838428,0.22360482559035277,0.21579406053292507,0.037758474321429716,0.04091202291743547,False
persistent_two_population,0.9513572360010585,0.0007125878784511694,0,1.0,0.18756318191443544,0.3142147235007398,2.2877526863658786,0.18972920285445416,0.18867898885574724,0.08398491232323722,0.09259277429091532,False
dynamic_m6,30.68781046100048,0.0007124701964840507,0,1.0,0.1673526504169252,0.2803570841630249,2.04639141656657,0.16971249318479803,0.16832344246557532,0.0032937691349745678,0.004443912404379685,False
dynamic_m8,64.59038857600535,0.0007124701964840564,0,1.0,0.15087186429418753,0.252747690881388,1.844881899251785,0.1530007916466163,0.15193311736619763,0.00300303816131344,0.00444391240597442,False
