nodes_per_dimension,total_support_nodes,status,message,completed_steps,elapsed_seconds,minimum_realizability_margin,limited_steps,minimum_lambda,maximum_newton_iterations,maximum_scaled_constraint_residual,maximum_raw_moment_residual,minimum_probability,M400_error_vs_particle,M400_error_vs_qmc,degree4_rmse_vs_qmc,passes_3pct_gate
4,128,REACHED_FINAL_TIME,,400,17.827961292998225,0.0007124701964840556,0,1.0,4,8.148718060377848e-08,9.055485996018244e-08,2.2648189030668216e-32,0.19560207749080344,0.20358510724064247,2.506989117646327,False
6,432,REACHED_FINAL_TIME,,400,25.727152043000387,0.0007124701964840543,0,1.0,4,9.501046446809673e-08,8.177798100515751e-08,1.3850328205100004e-52,0.19986711364835405,0.20779731142888624,2.5572978473402235,False
8,1024,REACHED_FINAL_TIME,,400,40.967826977001096,0.0007124701964840493,0,1.0,3,6.049789025831756e-08,4.2756618588607305e-08,2.2776711108907027e-85,0.21422369597004154,0.22196457207918616,2.7082073636208497,False
