family,tail,extremum,tail_value,M400_source_self_consistent,M400_source_frozen_coefficients,C_frobenius_norm,gamma_norm,beta,scaled_retained_moment_residual,mass,minimum_weight,positive_support_count
atomic_compact,M500,minimum,338.2628552907687,-127.52148529337892,-123.29954012640592,14.850632663259187,3.587303825411167,-0.11095460845913083,1.536964999715451e-14,0.9999999999999999,0.0,35
atomic_compact,M500,maximum,350.2465045996922,23.99615480763232,-22.462539728361936,18.184790263166803,4.249084483588453,-0.11095460845913083,1.9532986339498848e-15,1.0,0.0,35
atomic_compact,M600,minimum,1802.1489250646287,-127.5324011440262,-123.31065499155925,14.84964729607607,3.5871113506010444,-0.11095460845913083,1.016547956922409e-15,1.0,0.0,35
atomic_compact,M600,maximum,1968.5735420588042,24.188603554856353,-22.388096725985225,18.190752612828692,4.2502605404498865,-0.11095460845913083,3.8163916471489756e-16,1.0000000000000002,0.0,35
atomic_compact,M420,minimum,217.44971985194564,-121.95188044744275,-118.71303493004045,14.660465407984729,3.54894813200783,-0.11095460845913083,6.283723541500308e-12,1.0000000000000002,0.0,35
atomic_compact,M420,maximum,242.67019708890683,20.52623947479442,-23.910719878235614,18.146919166085446,4.241472481093433,-0.11095460845913083,2.220446049250313e-16,0.9999999999999997,0.0,35
mollified_gaussian,M500,minimum,338.31115756896077,-126.90985578729469,-122.7618265852664,14.865378252181104,3.5902339752329078,-0.11095460845913083,3.309852392163748e-15,1.0000000000000027,0.0,35
mollified_gaussian,M500,maximum,350.07183423208033,21.0833145104403,-24.029066549153345,18.13024322420255,4.2382677387546215,-0.11095460845913083,2.4868995751603507e-14,1.0000000000000249,0.0,35
mollified_gaussian,M600,minimum,1802.6372932848872,-126.96009626689003,-122.80721710424443,14.862933343308672,3.5897545938480317,-0.11095460845913083,2.1760371282653068e-14,1.0000000000000218,0.0,35
mollified_gaussian,M600,maximum,1966.0866851965839,21.161464576658272,-23.994990482034428,18.134697373519938,4.239149903698254,-0.11095460845913083,8.333611578592581e-14,1.0,0.0,35
mollified_gaussian,M420,minimum,217.5424912457455,-121.80449126842852,-118.57520193086422,14.665078730888808,3.549912806204205,-0.11095460845913083,3.1329105976141136e-15,1.0,0.0,35
mollified_gaussian,M420,maximum,242.3419581950828,18.019258915046134,-25.291522765559808,18.099219527118397,4.232009986045551,-0.11095460845913083,2.7929047963226594e-15,1.0,0.0,35
