x,refined_rho,refined_velocity_x,refined_theta,refined_stress_xx,refined_heat_flux_x,refined_M300,refined_M400,refined_M420,coarse_rho,coarse_velocity_x,coarse_theta,coarse_stress_xx,coarse_heat_flux_x,coarse_M300,coarse_M400,coarse_M420,adaptive_rho,adaptive_velocity_x,adaptive_theta,adaptive_stress_xx,adaptive_heat_flux_x,adaptive_M300,adaptive_M400,adaptive_M420
5.75,2.285714984904096,1.1296203075143383,2.07812241584388,-2.7108496528427395e-05,-4.293533682497852e-05,19.39183977871707,69.70228089893908,144.84732111560487,2.2857148942794763,1.1296201707691986,2.0781223470980383,1.409780946914907e-05,-4.294293950479755e-05,19.39169426521047,69.70147205328004,144.84637908106214,2.29297936415798,1.1252527702122102,2.0749824885135526,-0.0019269005880389045,0.043921653938284955,19.385013436364403,69.63782419058371,144.34582795084117
6.25,2.285714328669947,1.129619997316856,2.0781242170806493,-2.7212092249762065e-05,-1.234964476815037e-05,19.39187791716754,69.70265936794098,144.84984833311321,2.2857143097074277,1.129619970145876,2.0781242083680174,1.3461158583361055e-05,-1.2248608591391985e-05,19.39173908333363,69.70188079736685,144.84887495384507,2.2846995692571066,1.1303293436753465,2.0775018304294446,0.000601639376651697,-0.005729582812456169,19.38476337785131,69.67344814059331,144.64517699642394
6.75,2.2857142703711246,1.1296200700901018,2.078124783494937,-2.801419052200771e-05,-3.32221195975535e-06,19.391898719218755,69.70281695994788,144.85058981867297,2.2857142669918846,1.1296200656952664,2.0781247839671235,1.2551726268128505e-05,-3.267624726799312e-06,19.391761150720775,69.70204356751894,144.8496023664344,2.2886885903999183,1.1269726796549637,2.077465809628419,0.004489467640635958,0.027584503961661788,19.39635993763697,69.66988439393704,145.42919963397713
7.25,2.2857142778250754,1.129620119336988,2.0781249452059525,-2.8381693423007448e-05,-8.328997771478441e-07,19.39190622255124,69.70286923153179,144.85079021431443,2.285714277362651,1.1296201187980772,2.0781249460628626,1.2167125338358176e-05,-8.142954586176643e-07,19.391768818894494,69.70209627983506,144.84979764491868,2.2727877572144486,1.1376504156953113,2.079768967690988,0.0021675781984145104,-0.05178789769711356,19.362798366881886,69.58958846821923,144.97039266023285
7.75,2.285714283346285,1.129620136503007,2.0781249873125467,-2.850091264861021e-05,-1.9536133244457687e-07,19.391908437138557,69.70288417861008,144.85084028137092,2.285714283403784,1.1296201362702205,2.078124988051762,1.2045218351630638e-05,-1.9595547451345396e-07,19.391771028631155,69.70211113364823,144.84984615919242,2.2882939611832716,1.1284101180382118,2.0787567158184017,-0.0035335425072560156,0.007899304736669333,19.403493475591457,69.78847874384958,144.07606624366514
8.25,2.285714285120262,1.1296201412190858,2.078124997415361,-2.8533346255521508e-05,-4.56254625191832e-08,19.391909004989135,69.70288800072977,144.85085190783923,2.285714285499558,1.1296201403810855,2.078124999014595,1.2008739963320636e-05,-6.712760303173582e-08,19.391771567833405,69.70211496558153,144.8498575140128,2.296600344896245,1.1235999221944775,2.0774242243461982,-0.002322418669879589,0.036745288839693746,19.443495092265657,69.94135488162146,144.19749898384214
8.75,2.28571428531768,1.129620142643725,2.078124999509951,-2.8540407637223097e-05,-1.5486459670199793e-08,19.391909132745596,69.70288891355546,144.85085447310377,2.2857142865700895,1.1296201398395778,2.0781250043562998,1.1988686273056715e-05,-8.742539048256504e-08,19.391771630632135,69.70211610634114,144.84986046814163,2.2750459996671353,1.1347539577235866,2.0797202812831213,-0.0006384078854697606,-0.03226372855626147,19.35486402183456,69.56720351493729,145.04140194752745
9.25,2.2857142838971067,1.1296201450325656,2.078124998229528,-2.8534588157214102e-05,-4.901214101238338e-09,19.39190916679152,69.70288913729829,144.8508550534402,2.2857142876368193,1.1296201367089103,2.0781250123169537,1.1958275072387892e-05,-2.109064127786553e-07,19.39177149670816,69.70211699265785,144.84986232122375,2.28446238540312,1.131522231693862,2.079159715299909,0.0025211569209266926,-0.019585894261020087,19.40395692689144,69.76190278291384,145.09411032608404
9.75,2.2857142768326058,1.1296201555018421,2.0781249887092312,-2.849507508528859e-05,4.9395808332519664e-08,19.391909248250045,69.70288910255697,144.85085502025052,2.2857142869870035,1.1296201332252174,2.0781250258226867,1.190836620867941e-05,-4.810572145075298e-07,19.39177117198783,69.70211853584381,144.84986528883059,2.29197477246139,1.1258010554676288,2.0752761626143865,-0.002995660783066789,0.04503774237095248,19.405778089381055,69.7277983065287,144.41253186454972
10.25,2.2857142492970723,1.129620196146814,2.078124950195919,-2.8338397890514955e-05,2.9249222599503355e-07,19.39190960145225,69.70288851973733,144.85085391665947,2.285714275601282,1.1296201413139144,2.078125037867723,1.1867001885157435e-05,-9.275519676776867e-07,19.3917706450736,69.70212126808893,144.8498703264603,2.2873002317854034,1.1285377107614238,2.078935655878872,0.0013960928711300724,-0.006205365746062785,19.390648463333847,69.73481051508404,144.64145670389817
10.75,2.2857141600305453,1.1296203271798277,2.0781248276297046,-2.7841248890325687e-05,1.0682277178375443e-06,19.391910777560224,69.70288640503085,144.85084990383612,2.2857142355219424,1.1296201934412315,2.078125013447242,1.1953681443799269e-05,-1.3906747895475746e-06,19.391770104898885,69.7021253104033,144.8498772944386,2.2695044304170837,1.1396181278262374,2.0794763848270645,-0.0026324102834198726,-0.062139296490252516,19.35707299644696,69.6173468825534,145.17927259996458
11.25,2.285713932133317,1.1296206684772288,2.0781245196743012,-2.6540812476660847e-05,2.9606543088256387e-06,19.39191387706573,69.70288107798183,144.85084002256724,2.2857142139179625,1.1296202948670586,2.0781248758327657,1.2370964920904726e-05,-1.129414312295296e-06,19.39177005477689,69.70212998141844,144.84988453768938,2.2807251762374197,1.131335008011192,2.079130038255117,-0.011420704309323071,-0.008409823025854024,19.40764284712873,69.77024658308224,145.15078866091778
11.75,2.2857135898912575,1.1296213075044441,2.0781239726568654,-2.365653927949296e-05,6.5467966852139625e-06,19.391920412634878,69.70287098670754,144.8508230328626,2.285714816497765,1.129620049748261,2.0781245583964227,1.307463282795851e-05,2.404748560280723e-06,19.391770567499616,69.70213297312473,144.84989028027,2.275837928161237,1.134154869132655,2.0786982988135825,-0.007508048773352982,-0.01689894443624107,19.416198416282064,69.79313384237993,145.16979519790692
