lambda,minimum_hankel_margin,negative_mass_fraction,nonlinear_source_norm,realizability_margin,source_norm,step,time
1.0,0.009962624610543314,-0.0,0.0020333931891465496,0.0001175044260938782,9.65493609733613,1,0.0025
1.0,0.016628499926091722,-0.0,0.005553012959441414,0.00022894436820011075,9.56306444415667,2,0.005
1.0,0.023293110415553153,-0.0,0.01068145114828769,0.0003760127325216999,9.474303431470895,3,0.0075
1.0,0.029955881445618893,-0.0,0.017317963844226972,0.0005579376721748397,9.38867734610878,4,0.01
1.0,0.03661625935106372,-0.0,0.025365453451737293,0.0007739642917617086,9.306204018916485,5,0.0125
1.0,0.04327371101268174,-0.0,0.03473040381588263,0.0010233543372651062,9.226894810724009,6,0.015
1.0,0.049927723429132875,-0.0,0.045322812807233444,0.0013053858793164587,9.150754626671405,7,0.0175
1.0,0.05657780328373829,-0.0,0.05705612268050068,0.0016193529912536682,9.077781959388888,8,0.02
1.0,0.06322347650721882,-0.0,0.06984714850627675,0.0019645654232685215,9.00796896128843,9,0.0225
1.0,0.06986428783730969,-0.0,0.08361600495950701,0.0023403482738318104,8.941301545957744,10,0.025
1.0,0.0764998003761499,-0.0,0.09828603173237876,0.002746041659481959,8.87775951835758,11,0.0275
1.0,0.08312959514627472,-0.0,0.11378371782596769,0.0031810003839625113,8.81731673321767,12,0.03
1.0,0.08975327064602112,-0.0,0.13003862495850108,0.0036445936076060447,8.759941280712061,13,0.0325
1.0,0.09637044240507908,-0.0,0.14698331031474177,0.004136204517772578,8.70559569818022,14,0.035
1.0,0.10298074254089684,-0.0,0.16455324884737957,0.004655230001072901,8.654237206354004,15,0.0375
1.0,0.10958381931659478,-0.0,0.18268675532531584,0.005201080318032128,8.605817968260192,16,0.04
1.0,0.11617933670100133,-0.0,0.20132490631431127,0.005773178780778341,8.560285368703184,17,0.0425
1.0,0.12276697393138725,-0.0,0.22041146225838146,0.006370961434277547,8.517582311997302,18,0.045
1.0,0.12934642507942162,-0.0,0.2398927898206051,0.006993876741574917,8.477647535421381,19,0.0475
1.0,0.13591739862085328,-0.0,0.2597177846298908,0.00764138527344897,8.440415935713542,20,0.05
1.0,0.14247961700936074,-0.0,0.2798377945668756,0.008312959402830274,8.405818905814321,21,0.0525
1.0,0.14903281625499654,-0.0,0.3002065437132317,0.009008083004292282,8.373784679005212,22,0.055
1.0,0.15557674550761424,-0.0,0.32078005707670687,0.009726251158876494,8.344238677575877,23,0.0575
1.0,0.16211116664561587,-0.0,0.3415165861942715,0.010466969864471803,8.317103863186935,24,0.06
1.0,0.16863585387035096,-0.0,0.3623765357072046,0.011229755751935798,8.292301086174017,25,0.0625
1.0,0.17515059330645077,-0.0,0.383322390990425,0.012014135807107265,8.269749431157646,26,0.065
1.0,0.18165518260835323,-0.0,0.4043186469127231,0.012819647098828234,8.24936655648089,27,0.0675
1.0,0.18814943057326072,-0.0,0.4253317377931907,0.013645836513071581,8.231069025183382,28,0.07
1.0,0.19463315676071802,-0.0,0.4463299686137077,0.014492260493232604,8.214772625434406,29,0.0725
1.0,0.2011061911190144,-0.0,0.46728344753866685,0.01535848478663467,8.20039267857993,30,0.075
1.0,0.20756837361854608,-0.0,0.48816401978661195,0.016244084197262733,8.187844333204428,31,0.0775
1.0,0.21401955389228022,-0.0,0.5089452028918833,0.01714864234473062,8.177042843861352,32,0.08
1.0,0.2204595908834348,-0.0,0.5296021233876564,0.018071751429464756,8.167903833380636,33,0.0825
1.0,0.22688835250046746,-0.0,0.5501114549377522,0.019013012004072846,8.160343537912825,34,0.085
1.0,0.23330571527944532,-0.0,0.5704513579366649,0.019972032750852665,8.154279034111342,35,0.08750000000000001
1.0,0.23971156405384741,-0.0,0.5906014205943033,0.02094843026538353,8.149628448085378,36,0.09
1.0,0.24610579163185453,-0.0,0.6105426015169271,0.021941828846131103,8.146311145971108,37,0.0925
1.0,0.25248829848113097,-0.0,0.630257173790573,0.022951860289988024,8.144247906165544,38,0.095
1.0,0.2588589924211233,-0.0,0.6497286705691937,0.023978163693663457,8.143361073445808,39,0.0975
1.0,0.26521778832286813,-0.0,0.6689418321691113,0.025020385260826287,8.143574695353498,40,0.1
