sample,time,stage9_rho,stage9_momentum_x,stage9_momentum_y,stage9_momentum_z,stage9_energy_trace,stage9_M200,stage9_M020,stage9_M002,stage9_M300,stage9_M030,stage9_M003,stage9_M400,stage9_M040,stage9_M004,stage9_M110,stage9_M101,stage9_M011,stage9_M210,stage9_stress_norm,stage9_qx,stage9_qy,stage9_qz,stage9_heat_flux_norm,stage9_realizability_margin,grad_rho,grad_momentum_x,grad_momentum_y,grad_momentum_z,grad_energy_trace,grad_M200,grad_M020,grad_M002,grad_M300,grad_M030,grad_M003,grad_M400,grad_M040,grad_M004,grad_M110,grad_M101,grad_M011,grad_M210,grad_stress_norm,grad_qx,grad_qy,grad_qz,grad_heat_flux_norm,grad_realizability_margin,particle_rho,particle_momentum_x,particle_momentum_y,particle_momentum_z,particle_energy_trace,particle_M200,particle_M020,particle_M002,particle_M300,particle_M030,particle_M003,particle_M400,particle_M040,particle_M004,particle_M110,particle_M101,particle_M011,particle_M210,particle_stress_norm,particle_qx,particle_qy,particle_qz,particle_heat_flux_norm,particle_realizability_margin,particle_sem_M000,particle_sem_M100,particle_sem_M200,particle_sem_M300,particle_sem_M400,particle_sem_M010,particle_sem_M110,particle_sem_M210,particle_sem_M310,particle_sem_M020,particle_sem_M120,particle_sem_M220,particle_sem_M030,particle_sem_M130,particle_sem_M040,particle_sem_M001,particle_sem_M101,particle_sem_M201,particle_sem_M301,particle_sem_M002,particle_sem_M102,particle_sem_M202,particle_sem_M003,particle_sem_M103,particle_sem_M004,particle_sem_M011,particle_sem_M111,particle_sem_M211,particle_sem_M021,particle_sem_M121,particle_sem_M031,particle_sem_M012,particle_sem_M112,particle_sem_M013,particle_sem_M022
0,0.0,1.0,0.0,0.0,0.0,2.999999999999999,2.9851116625310166,0.007444168734491314,0.007444168734491314,0.0,0.0,0.0,8.999667506111109,0.00016624694444273403,0.00016624694444273403,0.0,0.0,0.0,0.0,2.431255327824494,0.0,0.0,0.0,0.0,4.24820065101315e-05,1.0,0.0,0.0,0.0,2.999999999999999,2.9851116625310166,0.007444168734491314,0.007444168734491314,0.0,0.0,0.0,8.999667506111109,0.00016624694444273403,0.00016624694444273403,0.0,0.0,0.0,0.0,2.431255327824494,0.0,0.0,0.0,0.0,4.24820065101315e-05,1.0,0.0,0.0,0.0,3.0,2.9851116625310175,0.007444168734491315,0.007444168734491315,0.0,0.0,0.0,8.999667506111109,0.00016624694444273405,0.00016624694444273405,0.0,0.0,0.0,0.0,2.4312553278244944,0.0,0.0,0.0,0.0,4.248200651013147e-05,0.0,0.0,2.293266818639604e-16,0.0,0.0,0.0,0.0,0.0,0.0,2.2395183775777384e-19,0.0,8.958073510310954e-19,0.0,0.0,6.998494929930432e-21,0.0,0.0,0.0,0.0,2.2395183775777384e-19,0.0,8.958073510310954e-19,0.0,0.0,6.998494929930432e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.248871197447825e-21
1,0.025,1.0,0.0,0.0,0.0,2.9999999999999996,2.888296627535095,0.05585168623245235,0.055851686232452354,-2.606167606365584e-16,-4.373629338652812e-18,4.689280294264646e-18,8.969661089132792,0.009355313844454018,0.00935531384445402,0.0,0.0,6.863205534691486e-19,-1.7425782630022935e-16,2.312681610239641,-1.303083803182792e-16,-9.035058234225852e-17,3.951362899102588e-17,1.6341612095138892e-16,0.0023422396534161696,1.0,0.0,0.0,0.0,2.999999999999998,2.888296624319031,0.05585168784048341,0.05585168784048341,-6.671685809101101e-19,8.8455531659287e-20,8.677079070502785e-20,8.980438415078204,0.009355320922003968,0.009355320922003968,3.794259546305522e-36,9.724521080062785e-36,-7.60595307590646e-33,-9.420753230362209e-20,2.3126816063007847,6.016301812299484e-29,1.4443195645050574e-30,2.773489583194525e-30,6.024422838032127e-29,0.0023403482738318104,1.0,-2.9727468316836925e-17,7.825313883208854e-18,9.33430307874239e-19,2.9999999999999996,2.8882659410550917,0.055841865682466976,0.05589219326244098,-0.0006773289672236742,2.1981885270326277e-06,4.988141591756395e-06,8.971001561437062,0.009355961715536857,0.00936112224507322,-0.00021595038881320547,-0.00010881825224397958,0.00011261046288495128,-0.00012052303975183898,2.3126440581731633,-0.0002415562616337493,-5.759629379752926e-05,-3.776660720488451e-05,0.0002511833537745917,0.002336688262643732,0.0,5.933744343713198e-17,0.000166675984906615,0.00041720009619985185,0.0017385241195958879,4.5220501647760284e-18,0.000372063886087134,0.00010460711438763602,0.00118295857324182,0.00010470783307501105,9.644747533783563e-05,0.0002877654151668181,1.1038506344551821e-05,5.3309475035553835e-05,4.132989158029013e-05,3.1164658893745847e-18,0.000275113826817528,0.00012708625615666548,0.0009854917698849577,7.912310510515599e-05,0.00012002105006239765,0.00024784706715412117,1.5417557090170427e-05,7.192418476184143e-05,3.1318049630040895e-05,6.608629238881028e-05,6.504194185987547e-05,0.00019895949046151221,7.881850387918769e-06,2.5244898031073513e-05,1.5831076295561667e-05,7.498707448398732e-06,2.6619220872460746e-05,1.399059816749114e-05,1.1155429291471065e-05
2,0.05,1.0,0.0,0.0,0.0,2.999999999999999,2.7962033227211354,0.10189833863943187,0.10189833863943194,-2.417914277359083e-16,-1.877014869286084e-17,1.9441189793399008e-17,8.901167582387743,0.03111668346644302,0.031116683466443026,4.1956336124275296e-19,0.0,2.9004176786167002e-18,-1.7191807721405275e-16,2.199890807479242,-1.2089571386795414e-16,-9.800726345987508e-17,2.7808009738917926e-17,1.5809643490027015e-16,0.007659061349430893,1.0,0.0,0.0,0.0,2.999999999999997,2.796203311237629,0.10189834438118367,0.10189834438118367,-8.205957774596207e-19,3.7082076576392145e-19,3.6649526938243646e-19,8.932765884691051,0.031117136113671125,0.031117136113671125,-1.577819843911898e-33,-2.0624540081022818e-34,-9.74227964126594e-33,-3.441713966882368e-19,2.1998907934148777,4.4249492326760595e-29,-5.435956828258971e-30,-3.900417397497335e-30,4.475243517049592e-29,0.00764138527344897,1.0,3.2973298570715404e-17,1.2591568277408802e-17,9.42790021941399e-18,3.0,2.795947995706418,0.10197936727997978,0.1020726370136022,7.058364755488654e-05,5.596514530519295e-06,7.188053051873599e-06,8.901739819054622,0.03111929056569004,0.03127379564152697,0.00021097701814996785,-0.0004755875287594412,3.714268327730818e-05,-0.000280729325811754,2.1995782217100692,0.00011269329275207311,-0.00013294094777708084,-0.00012304925939629377,0.00021334055888449664,0.00767740421851871,0.0,5.634039391638018e-17,0.0002627026686402939,0.0006542932994863843,0.0025937761421941535,6.161434995649844e-18,0.0003691222304610809,0.00028570912183207127,0.0013697689588472188,0.00018998044359533545,0.00016716240786028084,0.0005119823678797453,2.614731798577452e-05,0.00013936802251470203,0.00012486333779195298,4.807383916522498e-18,0.00037994158423938437,0.00018575025671758964,0.0014229396518708477,0.00013538003391710528,0.00023065835831690963,0.0003601538924340918,2.471649840307298e-05,0.00014005399497671664,0.00011402896080878736,9.830868551835514e-05,0.0001500338567328646,0.00029397033220534863,1.1755543287056803e-05,6.421809041810918e-05,2.6645839445960575e-05,1.55685485607781e-05,5.806727981656012e-05,3.032155194919047e-05,3.383937918648634e-05
3,0.075,1.0,0.0,0.0,0.0,2.999999999999999,2.7086014672399887,0.14569926638000505,0.14569926638000524,2.41251571028275e-15,-5.033809955940209e-17,2.2094885444045382e-17,8.804200374654767,0.06355083767192805,0.0635508376719281,8.931723961136455e-19,9.055386432289975e-18,6.329703176443685e-18,-4.544960207692454e-16,2.092600884254321,1.2397001588561e-15,-2.6102798328712935e-16,-1.5420597396180038e-16,1.2762333541842155e-15,0.015419110787310541,1.0,0.0,0.0,0.0,2.9999999999999964,2.7086014420348414,0.14569927898257753,0.14569927898257753,2.6030830629419985e-18,2.572351499791125e-19,2.8849507709112163e-19,8.859351663981398,0.06355384826776858,0.06355384826776858,-8.846797983697658e-33,-3.296738734339332e-33,-1.9052487213411993e-32,-2.3221994274515874e-19,2.092600853384447,-2.5471675368985046e-29,-3.226844464306666e-30,-2.2059842324254448e-30,2.5769849392914496e-29,0.01535848478663467,1.0,4.09896183835301e-17,1.8192150124654236e-17,1.3879905390182593e-17,2.9999999999999996,2.7079692891395357,0.14607020164679288,0.145960509213671,0.0013382640957237697,2.391145648860779e-06,1.5380678615950694e-05,8.802165715809599,0.06389431946034715,0.06369908198488909,-2.589533987436312e-06,-0.0001226265678835351,-2.7092172957805214e-05,-0.00011019499187785684,2.0918266363486877,0.0006028426186678016,-6.306046932106283e-05,-0.000299225232349659,0.0006759671481277419,0.015465305394165178,0.0,5.392098544291195e-17,0.0003648797279731369,0.000660314387039367,0.002445381656409047,1.0765814549869612e-17,0.00043879473307144095,0.0004768176462284787,0.0017149037990143894,0.0002489721739528534,0.00021323513393438524,0.0006078681801715488,4.944276891830799e-05,0.0002642696427620314,0.00027750269320804424,7.035068681002017e-18,0.0004645318462682778,0.00030101808176578453,0.001879714509369604,0.0001999441419670644,0.000275741261965447,0.0006302095330398447,2.773715050461033e-05,0.00023076224884618934,0.00021117585226920716,0.0001460508353013445,0.00021899297896870864,0.0003941324470976097,1.8030687188710915e-05,0.00010519774855967054,7.733040855120832e-05,3.235710716910138e-05,9.693793114722399e-05,8.947099267497213e-05,7.152857809385204e-05
4,0.1,1.0,0.0,0.0,0.0,2.9999999999999996,2.6252720108409755,0.18736399457951197,0.1873639945795121,3.411010201564846e-15,-1.2102710739516817e-16,3.4481208985425134e-17,8.68639699124693,0.10496668145121976,0.10496668145121987,-9.595822726109184e-18,1.1846582759581304e-16,8.885727233812582e-18,-7.062009155832334e-16,1.99054355989378,1.737114184615025e-15,-4.2893591200994094e-16,-1.4654348418782638e-16,1.7952790033196597e-15,0.025155983269518525,1.0,0.0,0.0,0.0,2.999999999999997,2.6252719664078854,0.18736401679605572,0.18736401679605572,1.149573966115484e-18,1.9243445447534001e-19,2.5427841314962887e-19,8.763690539794926,0.10497701686303189,0.10497701686303189,-1.3738372726765112e-32,-5.5341186633494246e-33,-2.521543417715302e-32,-1.5552162814241297e-19,1.9905435054745817,-7.14293712599199e-30,-3.6207543139790796e-30,-2.948165410619371e-30,8.533644700621495e-30,0.025020385260826287,1.0,2.883977778811442e-17,2.8569997794413923e-17,1.3689746493524002e-17,2.999999999999999,2.624639911191378,0.18799531599948957,0.18736477280913158,0.0015111454963730032,-3.8299907627016114e-05,7.159445361414964e-05,8.686253225522943,0.10572873866209989,0.1047855135305823,0.0001723016795206568,-0.000607484383361765,8.257718267630985e-05,0.00013067638293202063,1.9897696528579694,0.0004360420708920397,2.877913506776774e-05,-0.0001937647157342632,0.00047802268907097626,0.025179769911443325,0.0,5.0883354284231434e-17,0.00036806611518754495,0.0009272387646019326,0.0038551245726355376,1.4410920508421473e-17,0.0005329875504921347,0.0006650657877750989,0.0021457716519603766,0.00029735730779214707,0.0003298987293699655,0.0007339042848618536,6.778896540120087e-05,0.00035829111168131204,0.00038370939088271723,8.926294350780726e-18,0.00047837298249516847,0.000565241656923825,0.0019636087509650076,0.000158365367906205,0.0003189509048157839,0.0005093597635533523,4.831676720861233e-05,0.00035615330235232536,0.00031470587437938447,0.00013525265076566278,0.00022110612194128419,0.000396558939204537,3.0343870368089904e-05,0.00015003397168606377,0.00012131331194309017,3.863477133732302e-05,0.00012924052829120918,0.00014150974574380168,0.00010867607614879812
5,0.125,1.0,0.0,0.0,0.0,2.999999999999998,2.5460065857670515,0.22699670711647313,0.22699670711647318,1.3122028618059542e-15,-2.4046249645722716e-16,1.618762164641986e-17,8.553593485024571,0.15387048251231603,0.1538704825123162,-2.6115187949425438e-17,1.4660007694787092e-16,2.307870964069843e-17,-1.5095750957016382e-15,1.8934636370558182,6.52028914811909e-16,-9.108686053101336e-16,-1.1084742700398831e-16,1.1256600170405929e-15,0.03648428463903604,1.0,0.0,0.0,0.0,2.9999999999999973,2.5460065172633097,0.2269967413683439,0.2269967413683439,-2.6539646851695047e-18,-1.1004082041125924e-18,-9.888273937046738e-19,8.649527993873757,0.15389564936828573,0.15389564936828573,-1.9042623976017677e-32,-1.0325958980334788e-32,-3.304837940988412e-32,1.1099705842822235e-18,1.8934635531562118,2.1744423147612428e-29,-6.354401221449094e-30,-5.469063263076434e-30,2.330469922314187e-29,0.036244987701641425,1.0,2.093187819254827e-17,2.9046877343718094e-17,6.822850390133389e-18,2.9999999999999996,2.545492360509513,0.22774909832720702,0.22675854116327931,0.0003780656126920874,1.9626781779923202e-05,0.00011024021638807376,8.551425421184689,0.15507035087125345,0.15357166850937545,0.0009162898694436768,-0.0004512390619523637,-9.416475526919208e-05,-0.00030797608736442804,1.8928345277211325,-4.138605006595613e-05,-0.00017886186036571584,-0.0001847074208511457,0.00026042504017668674,0.036433964926493215,0.0,5.058642408388821e-17,0.00045744026215969276,0.0011148061805463557,0.004063053153854834,1.4985479620867463e-17,0.0005904546457608392,0.0007836137555536368,0.002234739194364821,0.0003660979556628304,0.0003577312084163107,0.0008345045315188343,7.191488975427571e-05,0.0005347519727449962,0.0006489331277633196,1.2409075113649959e-17,0.0004579327042934517,0.00047353878194095477,0.0018980436840017574,0.00023809291125789705,0.0004048917643370768,0.0005967758644359128,7.03137567637852e-05,0.0004959844308666516,0.000494499764882282,0.00019446011254136062,0.0002943071770014402,0.0005304172760537366,3.6237066725679004e-05,0.00019918996546292248,0.00021822103112044847,4.221203083770723e-05,0.00022534733021396027,0.00020146909819614665,0.00015096794657480452
6,0.15,1.0,0.0,0.0,0.0,2.9999999999999964,2.4706069859152935,0.2646965070423515,0.26469650704235154,3.764800525732911e-15,-2.9943434675032164e-16,1.4371773118407885e-17,8.410257178673362,0.20894902073562932,0.2089490207356295,-1.5429560593262093e-17,9.496828527193468e-17,6.523868174270832e-18,-1.5108245168233013e-15,1.8011183638324,1.895595412890821e-15,-9.48346632594542e-16,5.3340385639469255e-17,2.120256706549067e-15,0.04908307039982447,1.0,0.0,0.0,0.0,2.9999999999999973,2.470606889690723,0.26469655515463714,0.26469655515463714,-4.063620555166218e-19,-5.641859503276607e-19,-4.937569324186978e-19,8.52051702263559,0.209000118226656,0.209000118226656,-3.194705987823295e-32,-2.225883876905094e-32,-4.167297101104012e-32,6.151137782769123e-19,1.8011182459818504,1.884799303012416e-29,-6.428284708940649e-30,-5.7864083696628404e-30,2.073770014691391e-29,0.04871846642908717,1.0,3.279711571768651e-17,4.002103620834481e-17,1.204650257585066e-17,2.9999999999999996,2.4703575786494163,0.2654030126303875,0.26423940872019586,0.0002690016785591166,0.00012999429304500447,5.875439621869102e-05,8.41009561269095,0.2100895444039483,0.20901423746747028,0.0008420222529082807,-0.0007779033219765881,-0.00010023216384372479,-0.0002482975166976096,1.800813826853784,1.7022467426307215e-05,-9.163367635811114e-05,-0.00022038957190348378,0.00023928656135266684,0.04903246889556741,0.0,4.943670340279874e-17,0.0006632255735288132,0.0010805581692261948,0.005808944258817585,1.88741578181777e-17,0.0006295349355109879,0.0006561252809778412,0.0026833714391792376,0.0004414798947060615,0.00039548759546144353,0.0009213504312566058,7.713199328775794e-05,0.0007204171300997661,0.0008561793907439669,1.1811175334527439e-17,0.0006940474912081354,0.00038815279407090994,0.0029138587700006085,0.0004073918362608608,0.0005143404426860387,0.0008943275995227916,8.152123146192758e-05,0.0006664947773962511,0.0008526156233792013,0.00032091780826663314,0.00030472579163787786,0.0007109182146595204,4.3837190107912025e-05,0.00033943710076456374,0.00039334433691712046,4.23473401389511e-05,0.00023447606627046444,0.0003079659589798893,0.00021402374868989497
7,0.17500000000000002,1.0,0.0,0.0,0.0,2.999999999999995,2.3988846715063317,0.30055766424683183,0.3005576642468319,5.105335961175243e-15,-2.7620576267051665e-16,6.410171450961918e-17,8.259813088673427,0.2690613597228128,0.26906135972281275,5.9126468017823786e-18,3.80480331597391e-17,9.107386866948914e-18,-1.351653083592127e-15,1.7132768270956895,2.639671021400342e-15,-8.508267016922876e-16,8.751442755137874e-17,2.774784307394531e-15,0.06267711263159113,1.0,0.0,0.0,0.0,2.9999999999999973,2.3988845453472845,0.3005577273263566,0.3005577273263566,-4.0778226788657155e-19,-1.0627276604017936e-18,-1.0857531661234657e-18,8.380022054756584,0.26914460472956425,0.26914460472956425,-4.797186452425689e-32,-3.0105187525009094e-32,-4.708444172433418e-32,1.0065164196712697e-18,1.7132766725830424,1.0606023981367593e-29,-4.0761645234537464e-30,-3.11731020798518e-30,1.178221052470274e-29,0.062179703806306934,1.0,3.010693907720685e-17,4.02454999393672e-17,-3.699839913606784e-18,2.9999999999999996,2.3983823637464114,0.3012942412365932,0.3003233950169948,-0.0002443343326206434,0.00015951147583244692,2.9100870714438402e-05,8.2558914221581,0.27072603710380927,0.2690505443975879,0.000954278149837266,-0.0007463041301896533,0.00017482586263136728,0.0004200350963621001,1.7126626405945047,-0.0002184469140810648,0.000262457194487611,-0.0004859391580502978,0.0005939189326301023,0.06274777503870729,0.0,4.924137423912281e-17,0.0006020759927419742,0.0013012927817385514,0.004901253991724848,1.8551371645305654e-17,0.0007134115694659612,0.0008365418386171084,0.003430465345450389,0.0003912568985776872,0.0004950875951817513,0.0006322111252854652,7.331079761702244e-05,0.0008383090145221124,0.0008495183280329511,1.7712130345617432e-17,0.0007493565405397006,0.00040846791828596276,0.0028572299943751683,0.0003989044851107088,0.0005512372694329752,0.0008930546590516861,8.9898983059787e-05,0.0008218395028998597,0.0010807482476090607,0.0003681700771149781,0.0004003726755365206,0.0009420558263245403,4.924071342205069e-05,0.0003744640141822945,0.0005601639548528087,4.7205045364948525e-05,0.00032212888808357806,0.00040299080255786813,0.00021885443896982193
8,0.2,1.0,0.0,0.0,0.0,2.9999999999999964,2.330660297873558,0.334669851063219,0.33466985106321934,3.093172620644015e-15,1.3200297928124039e-17,9.492489388726215e-17,8.104890571664649,0.3332034766476921,0.33320347664769207,3.857064181543667e-17,3.9633713053971987e-17,1.2355974463177297e-17,-5.820061537138726e-16,1.629719375385046,1.5744931695396242e-15,-2.676043423470881e-16,-2.6782557343732765e-17,1.59729713276767e-15,0.07704043750600761,1.0,0.0,0.0,0.0,2.9999999999999987,2.330660141013633,0.3346699294931826,0.3346699294931826,-4.0681730700316535e-19,-1.4506345354079036e-18,-1.3994215809022905e-18,8.23102420445953,0.33332960015930624,0.33332960015930624,-6.729668681721171e-32,-3.5517725961128535e-32,-4.7940143371540116e-32,1.50814736369937e-18,1.6297191832716567,1.820919817875737e-29,-9.384942266908552e-30,-8.530040020188287e-30,2.2190394823267141e-29,0.07640896192773564,1.0,3.182811002602759e-17,3.522344159509645e-17,3.635465409615457e-18,3.0,2.3297543853131675,0.3358518441171566,0.334393770569676,-0.0008638327728596566,0.00018240184901971272,-1.5742496497040715e-05,8.100308967520101,0.3354684720415503,0.3334404422440851,0.0007250401010250564,-0.000971397728687438,0.00016895019900719366,-0.0001316954805136138,1.6286111096760838,-0.0006163343988353815,-5.080978277833455e-06,-0.0005106670208527964,0.0008004215849879995,0.07720646382012454,0.0,4.7657710453962013e-17,0.0007371157519072402,0.001430263547373473,0.005332284027240696,2.231579692527525e-17,0.0008598101457991371,0.00085112662128204,0.0038602168132528397,0.00043703001139059244,0.0006789774090681274,0.0007726487978228194,8.199955339124655e-05,0.0010680207282062503,0.000801588061739984,1.5135577242204674e-17,0.000753651930588786,0.0005087156746039725,0.002874603511521688,0.00044483613868743355,0.0006053192357373174,0.0007584720978172756,9.932169368077246e-05,0.0007887532955907104,0.0013638701502583035,0.00039888336307821636,0.0004156039954418765,0.0009256223630931762,5.6445247995379724e-05,0.0004199488298493458,0.0005358102568953194,5.3740994329937496e-05,0.00038421809475312876,0.0005921215599073279,0.0002876599311476515
9,0.225,1.0,0.0,0.0,0.0,2.999999999999996,2.2657632671643615,0.36711836641781714,0.36711836641781764,3.0928604810211905e-15,-2.283292160416294e-16,5.1332286441980045e-17,7.947510064618995,0.4005141432252222,0.40051414322522216,8.285148452804483e-17,9.728834230990346e-17,-1.1718955523674502e-17,-1.2320145851190687e-15,1.550237069855415,1.506806682531543e-15,-7.632832650383074e-16,1.3031289125965143e-16,1.6941219468614718e-15,0.0919733258436304,1.0,0.0,0.0,0.0,2.9999999999999996,2.2657630801424307,0.3671184599287843,0.3671184599287843,-3.66297878327083e-19,-1.4981412814292261e-18,-1.461185554321466e-18,8.076091980496388,0.40068529590260754,0.40068529590260754,-8.603146889787179e-32,-4.5010965384908883e-32,-4.602633442175398e-32,1.6129729967241248e-18,1.550236840801263,6.949645981948426e-30,-1.1309301374684897e-29,-1.0762963197710848e-29,1.7089156025185673e-29,0.09121968697810112,1.0,3.501295390770376e-17,3.680824023940925e-17,1.2841019480375193e-18,3.0000000000000004,2.2652940696021377,0.3679002696890546,0.3668056607088079,5.5712742546274114e-05,0.0001268566912704055,-5.857130969116413e-05,7.949910258443218,0.4014936480629926,0.40077800147170184,0.0011468942839865078,-0.0005759634687231593,0.0002648715050273673,5.530829619759483e-05,1.5496637239912983,-0.00029881742188159514,7.57781254787153e-05,-0.0005071813468535795,0.0005935209301425199,0.09217850107052275,0.0,4.674202759542323e-17,0.0009831565269531753,0.0016750378499638292,0.008347335768899353,2.21914137072338e-17,0.0007345439363848462,0.001043713425183786,0.003197456903649292,0.0005421880900405138,0.0007422178618792072,0.0007141537095840183,8.804140338129368e-05,0.0011935656227011692,0.0012170574574584575,1.9846105761101756e-17,0.0008022418737303278,0.0006973060160835404,0.003335578792038323,0.0005661104909471891,0.0006197767210155969,0.0009401045547663895,0.00010401905351786617,0.0008879961363424563,0.0016754307329931099,0.0003811681593393659,0.0003801533643044705,0.0010155788703820768,5.569833467844161e-05,0.0005336034225937876,0.0005672694149222266,5.5043203672949696e-05,0.00051636876848806,0.0005764171925840832,0.0003605908600725469
