lambda,minimum_hankel_margin,negative_mass_fraction,nonlinear_source_norm,realizability_margin,source_norm,step,time
1.0,8.068903668195745,0.0009300197276249417,9.759904644569863,0.10236366436456253,163.77314458573093,1,0.0025
1.0,7.996017035066426,0.0009352177793673664,9.476529641134281,0.10333448010615168,161.86990021681422,2,0.005
1.0,7.924097349256506,0.0009403982934561253,9.201690813720099,0.10431117976534658,159.99402194032768,3,0.0075
1.0,7.853129814446602,0.0009455603803999147,8.935118972734927,0.1052937727370528,158.14497050233015,4,0.01
1.0,7.7830999067477755,0.0009507031405865459,8.676553948159992,0.10617198192239079,156.3222209753951,5,0.0125
1.0,7.713993368531973,0.0009558256643575266,8.425744262607228,0.10691012797794248,154.52526229077213,6,0.015
1.0,7.6457962024327575,0.0009609270320863551,8.182446817407321,0.10764966278540689,152.75359678818467,7,0.0175
1.0,7.578494665510872,0.0009660063142605906,7.94642659115116,0.1083905572447121,151.00673978251243,8,0.02
1.0,7.5120752635791135,0.0009710625715677037,7.7174563501365325,0.10913278183638175,149.28421914664443,9,0.0225
1.0,7.446524745681529,0.0009760948549847259,7.49531637020067,0.10987630662597267,147.58557490982332,10,0.025
1.0,7.381830098721785,0.0009811022058717482,7.27979416944159,0.11062110126861009,145.91035887083197,11,0.0275
1.0,7.317978542236137,0.0009860836560692597,7.070684251356283,0.1113671350136189,144.25813422540344,12,0.03
1.0,7.254957523306137,0.0009910382279993556,6.867787857947959,0.11211437670924898,142.6284752072668,13,0.0325
1.0,7.192754711606888,0.0009959649347708395,6.67091273237258,0.11286279480749188,141.0209667422645,14,0.035
1.0,7.131357994586379,0.0010008627802882207,6.479872890719462,0.11361235736898868,139.43520411500742,15,0.0375
1.0,7.070755472771898,0.0010057307593646114,6.294488402535444,0.1143630320680249,137.87079264755332,16,0.04
1.0,7.010935455199478,0.00101056785783855,6.114585179725011,0.11511478619761194,136.32734738962287,17,0.0425
1.0,6.951886454962606,0.0010153730526947394,5.9399947734720415,0.11586758667465205,134.80449281988513,18,0.045
1.0,6.893597184876441,0.0010201453121887216,5.770554178847826,0.1166214000451858,133.30186255786813,19,0.0475
1.0,6.836056553254057,0.0010248835959754546,5.606105646784817,0.11737619248971816,131.8190990860694,20,0.05
1.0,6.779253659791168,0.0010295868552418457,5.44649650310963,0.11813192982862314,130.35585348185904,21,0.0525
1.0,6.72317779155618,0.0010342540328431632,5.291578974344581,0.11888857752762307,128.91178515878906,22,0.055
1.0,6.6678184190821925,0.0010388840634434058,5.141210019998107,0.11964610070334104,127.48656161693573,23,0.0575
1.0,6.613165192558031,0.0010434758736595205,4.995251171079521,0.12040446412892504,126.07985820192212,24,0.06
1.0,6.559207938115211,0.0010480283822095606,4.853568374583172,0.12116363223973989,124.69135787227985,25,0.0625
1.0,6.505936654208052,0.0010525405000646824,4.716031843700457,0.12192356913912629,123.32075097482696,26,0.065
1.0,6.453341508084093,0.0010570111306050251,4.582515913528129,0.12268423860422414,121.96773502775076,27,0.0675
1.0,6.401412832342198,0.0010614391697793954,4.452898902051073,0.12344560409185823,120.63201451109865,28,0.07
1.0,6.350141121575698,0.0010658235062688123,4.327062976189301,0.12420762874448356,119.31330066439297,29,0.0725
1.0,6.299517029098144,0.001070163021653791,4.2048940227059886,0.12497027539618889,118.01131129109729,30,0.075
1.0,6.2495313637491945,0.0010744565905854435,4.08628152378452,0.12573350657875598,116.72577056967397,31,0.0775
1.0,6.200175086778356,0.0010787030809602418,3.9711184370888133,0.1264972845277724,115.45640887098287,32,0.08
1.0,6.151439308804254,0.0010829013540985797,3.859301080131505,0.12726157118879589,114.20296258178323,33,0.0825
1.0,6.1033152868473675,0.0010870502649268858,3.7507290187796367,0.1280263282235685,112.96517393410798,34,0.085
1.0,6.055794421433996,0.001091148662163457,3.6453049597376124,0.12879151701627778,111.74279084029286,35,0.08750000000000001
1.0,6.008868253769516,0.0010951953885078368,3.5429346468514313,0.12955709867986412,110.53556673344856,36,0.09
1.0,5.962528462978907,0.00109918928083373,3.4435267610870395,0.130323034062371,109.3432604131749,37,0.0925
1.0,5.916766863412683,0.0011031291703854592,3.3469928240406044,0.1310892837533377,108.1656358963236,38,0.095
1.0,5.8715754020163455,0.0011070138829778271,3.253247104844889,0.13185580809023126,107.00246227262396,39,0.0975
1.0,5.826946155761608,0.001110842239199424,3.1622065303417752,0.13262256716491677,105.85351356499363,40,0.1
1.0,5.7828713291376586,0.0011146130546192644,3.0737905983966005,0.13338952083016445,104.71856859436407,41,0.10250000000000001
1.0,5.739343251700796,0.001118325139996721,2.987921294234318,0.1341566287061904,103.59741084885631,42,0.105
1.0,5.6963543756808,0.0011219773014947212,2.9045230096840777,0.13492385018723163,102.48982835715064,43,0.1075
1.0,5.65389727364253,0.0011255683408961125,2.823522465221467,0.13569114444815147,101.3956135658985,44,0.11
