lambda,minimum_hankel_margin,negative_mass_fraction,nonlinear_source_norm,realizability_margin,source_norm,step,time
1.0,0.039407901186158334,0.04355760039730629,0.07916048476748416,0.0002718872519055169,14.088290305549503,1,0.00125
1.0,0.04596492610936043,0.04558465725948557,0.09160608644674559,0.0003539819647526407,14.004477114129244,2,0.0025
1.0,0.05250456479971177,0.04742689036029438,0.10382432616550193,0.0004464248627822362,13.921027895943231,3,0.00375
1.0,0.059026719385659954,0.04915074276054015,0.11582395856498603,0.000549067285641517,13.837948592574635,4,0.005
1.0,0.06553129573123617,0.05080371289498238,0.1276134625221176,0.0006617631167562339,13.755245005406486,5,0.00625
1.0,0.07201820337812714,0.052420667854594497,0.1392010416987173,0.0007843687315547626,13.67292279586111,6,0.0075
1.0,0.07848735548786201,0.05402738450730578,0.15059462547411143,0.0009167429467281833,13.590987485670128,7,0.00875
1.0,0.08493866878415157,0.05564254796023128,0.16180187026057274,0.0010587469705110198,13.509444457190355,8,0.01
1.0,0.0913720634953894,0.05727881528243016,0.17283016119580305,0.0011996162038102835,13.42829895377001,9,0.01125
1.0,0.09778746329733878,0.05894326642701499,0.1836866142052341,0.0013453692601937772,13.347556080167513,10,0.0125
1.0,0.10418479525603841,0.06063742644012401,0.1943780784243954,0.0014989751545286406,13.267220803022035,11,0.01375
1.0,0.11056398977092696,0.06235697843447344,0.20491113897014976,0.001660297441916301,13.18729795137516,12,0.015
1.0,0.1169249805182313,0.06409126378368787,0.21529212004825107,0.0018292055213506668,13.107792217241933,13,0.01625
1.0,0.12326770439463153,0.0658226707301045,0.22552708838322807,0.0020055743945463227,13.028708156230044,14,0.0175
1.0,0.12959210146121602,0.06752603831581906,0.23562185695555762,0.002189284431859862,12.95005018820522,15,0.01875
1.0,0.13589811488775716,0.06916824372924016,0.24558198902992986,0.0023802211451971864,12.871822598001016,16,0.02
1.0,0.14218569089731603,0.07070818931749108,0.2554128024576948,0.002578274967750724,12.794029536171424,17,0.02125
1.0,0.1484547787112125,0.07209744562273965,0.2651193742355769,0.002783341040441202,12.71667501978428,18,0.0225
1.0,0.15470533049434687,0.07328521710209665,0.27470654530220273,0.0029953190049133317,12.639762933253898,19,0.02375
1.0,0.16093730130092165,0.07428476842287741,0.284178925553707,0.003214112802952238,12.563297029210824,20,0.025
1.0,0.1671506490205612,0.07573134338358209,0.2935408990585956,0.0034396304821564467,12.48728092940749,21,0.02625
1.0,0.17334533432484744,0.07688780423613904,0.30279662945290736,0.0036717840077464666,12.411718125657307,22,0.0275
1.0,0.17952132061428494,0.07758031066170597,0.31195006549544835,0.003910489080345271,12.336611980806163,23,0.02875
1.0,0.18567857396571186,0.07777898670183075,0.321004946763685,0.0041556649596013505,12.26196572973421,24,0.03
1.0,0.19181706308016833,0.0774760646547107,0.3299648094706486,0.0044072342935153625,12.187782480386502,25,0.03125
1.0,0.19793675923123133,0.07668653302150867,0.3388329923834768,0.004665122953319196,12.114065214830743,26,0.0325
1.0,0.20403763621382853,0.07544674030951423,0.34761264282476345,0.004929259873780768,12.040816790340637,27,0.03375
1.0,0.2101196702935455,0.07381713346134439,0.35630672273789027,0.005199576898802297,11.968039940503273,28,0.035
1.0,0.2161828401564292,0.07193540856372846,0.36491801479855634,0.005476008632162919,11.895737276349085,29,0.03625
1.0,0.2222271268592999,0.06991988390775247,0.3734491285549952,0.005758492293302021,11.823911287502785,30,0.0375
1.0,0.22825251378058864,0.06800891434805294,0.38190250658003766,0.006046967577970005,11.752564343354065,31,0.03875
1.0,0.23425898657168442,0.066036390683548,0.39028043061916323,0.006341376523679164,11.68169869424644,32,0.04
1.0,0.24024653310883148,0.06405766878705929,0.39858502771918886,0.006641663379777298,11.61131647268307,33,0.04125
1.0,0.24621514344555107,0.062117023905956276,0.40681827632315376,0.006947774482038463,11.541419694548267,34,0.0425
1.0,0.2521648097656195,0.06024753982315158,0.41498201231796317,0.007259658131667588,11.472010260343277,35,0.043750000000000004
1.0,0.25809552633658805,0.05847700926047952,0.4230779350221934,0.007577264478574938,11.403089956435178,36,0.045
1.0,0.26400728946386787,0.05965751486981896,0.43110761310171175,0.007900545408814389,11.334660456318085,37,0.04625
1.0,0.26990009744536536,0.06070246502120903,0.4390724904032919,0.008229454436072217,11.266723321884811,38,0.0475
1.0,0.27577395052668696,0.06152969550438747,0.44697389169519147,0.008563946597095955,11.19928000470863,39,0.04875
1.0,0.2816288508569167,0.062163926530758945,0.4548130283062659,0.008903978350946045,11.132331847333708,40,0.05
1.0,0.28746480244495043,0.06262901023374357,0.4625910036552411,0.009249507481963896,11.065880084573351,41,0.051250000000000004
1.0,0.29328181111642304,0.06294725403129614,0.47030881866290325,0.009600493006356327,10.99992584481506,42,0.0525
1.0,0.2990798844711873,0.06313904285864151,0.4779673770407112,0.00995689508228829,10.934470151331507,43,0.05375
1.0,0.3048590318413933,0.06322267976854196,0.4855674904502132,0.010318674923378925,10.869513923596692,44,0.055
1.0,0.31061926425012976,0.06321437683487562,0.49310988352841056,0.010685794715507095,10.805057978606257,45,0.05625
1.0,0.3163605943706498,0.06312834278159066,0.5005951987752014,0.011058217536820993,10.7411030322013,46,0.0575
1.0,0.3220830364861793,0.06297692744018943,0.5080240012990196,0.011435907280869937,10.677649700395047,47,0.058750000000000004
1.0,0.3277866064503001,0.06277079472618041,0.5153967834189295,0.011818828582749314,10.61469850070142,48,0.06
1.0,0.3334713216479166,0.06251910497421662,0.5227139691199635,0.012206946748173826,10.552249853465225,49,0.06125
1.0,0.33913720095679545,0.062229694333965836,0.5299759183616879,0.012600227685393465,10.490304083192898,50,0.0625
1.0,0.3447842647096948,0.061909243865139005,0.5371829312378895,0.012998637839854573,10.428861419883654,51,0.06375
1.0,0.35041253465705346,0.0615634343899513,0.5443352519880397,0.01340214413153468,10.367922000360224,52,0.065
1.0,0.3560220339302691,0.061197085442359106,0.5514330728601489,0.01381071389485033,10.307485869598814,53,0.06625
