lambda,minimum_hankel_margin,negative_mass_fraction,nonlinear_source_norm,realizability_margin,source_norm,step,time
1.0,0.36338061837407487,0.0939544639474891,200.4445234604086,0.0006670420095749041,50.098630873832036,1,0.0025
1.0,0.38738284628177233,0.09556938418581767,200.00102592382603,0.0006347917715809827,50.13543559249161,2,0.005
1.0,0.41144809632374724,0.09653991507231832,199.55555753265728,0.0005569194629158212,50.16733501691249,3,0.0075
1.0,0.4355720822709763,0.09746095892894951,199.10265594160853,0.00045877938486916267,50.200462009513195,4,0.01
1.0,0.45974986434774934,0.09861270400484094,198.63847426336184,0.00035161898560410326,50.23927834415841,5,0.0125
1.0,0.4839760858801334,0.10006988700778718,198.1603345158821,0.00024085163796183209,50.2870219083938,6,0.015
1.0,0.5082451413838616,0.1011459027768818,197.6664178662835,0.00012965803193952622,50.34601850558634,7,0.0175
1.0,0.5325512975535922,0.10158742721839825,197.15554500620846,2.0209183015670963e-05,50.417904033588705,8,0.02
0.721247603952598,0.5568887812160419,0.10221766703289534,196.62701742136457,1.0000236672641497e-12,50.50378589021639,9,0.0225
0.6748070964410372,0.5812328666158795,0.10094451207064749,195.54625036226852,1.0000031731738051e-12,50.58116548589542,10,0.025
0.6948230706118785,0.6055230989079305,0.09815824345668853,194.36409875479217,1.0000003658502679e-12,50.66961385156355,11,0.0275
0.7158935607254737,0.6297514208731574,0.09628629739603435,193.20853636260247,1.0000333764644698e-12,50.77410854022656,12,0.03
0.7380383732315743,0.653917356267165,0.09342880236368367,192.08157291474885,1.0000309097598585e-12,50.89407624264982,13,0.0325
0.761286516213145,0.6780205688945387,0.0901347632969315,190.98519197608175,1.0000189064081298e-12,51.02896836364554,14,0.035
0.7856750641521301,0.7020608649607407,0.08780398941456588,189.92137083540024,1.00001507712069e-12,51.178264379612266,15,0.0375
0.8112484830675216,0.726038198125389,0.08647919430856502,188.8920978609553,1.0000018351443795e-12,51.34147459328585,16,0.04
0.8380582891167037,0.7499526771107181,0.08516908264005477,187.89938830108318,1.0000375139484928e-12,51.51814250774103,17,0.0425
0.866162958040719,0.7738045758270893,0.08538399203967761,186.94529925161714,9.999956167277075e-13,51.7078469735767,18,0.045
0.8956280314708079,0.7975943460679442,0.08546509428230925,186.03194434583594,1.0000243155416413e-12,51.910204218594444,19,0.0475
0.9265263849568623,0.8213226329090855,0.08520849372942839,185.16150861361672,1.0000107264555516e-12,52.124869842138786,20,0.05
0.9589386351146303,0.8449902930279833,0.0846719394002188,184.3362638880609,1.0000312469070033e-12,52.35154083855649,21,0.0525
0.9929536716439251,0.8685984162433336,0.08418855960417629,183.55858509739542,1.0000056352340645e-12,52.589957703061586,22,0.055
1.0,0.8921483506683696,0.08357925375477886,182.83096775841915,9.024903308939061e-06,52.839906667610876,23,0.0575
1.0,0.9156591431027454,0.08285002835804983,182.10630685109015,2.9466362358437773e-05,53.09824830577359,24,0.06
1.0,0.9391336319515613,0.08199896121104627,181.3728417906469,6.139889202345217e-05,53.36370382996125,25,0.0625
1.0,0.9625689320512052,0.08127740890236382,180.6311510292815,0.00010486715949341519,53.63567686734612,26,0.065
1.0,0.9859622847854936,0.08049493384918034,179.8818038115842,0.00015988927691479098,53.91357308477923,27,0.0675
1.0,1.0093110564214935,0.07969237883269223,179.1253583308444,0.00022645964232205027,54.196803213707135,28,0.07
1.0,1.0326127361519077,0.0789294794250069,178.36236025308935,0.0003045514130395214,54.484785637118115,29,0.0725
1.0,1.0558649338969932,0.07809908775177787,177.5933415494228,0.00039411867310981723,54.77694859439826,30,0.075
1.0,1.079065377910295,0.07721085575789124,176.8188195872566,0.0004950983414270927,55.07273205125441,31,0.0775
1.0,1.1022119122252008,0.07629177350436372,176.03929643923144,0.0006074118568404187,55.371589274853434,32,0.08
1.0,1.1253024939733134,0.07537628166652635,175.25525837592423,0.0007309666690546335,55.67298814813587,33,0.0825
1.0,1.1483351906011574,0.07442578027245006,174.46717551334478,0.0008656575587527027,55.976412253257024,34,0.085
1.0,1.1713081770073508,0.07343837732090391,173.6755015914115,0.001011367806375522,56.28136174975815,35,0.08750000000000001
1.0,1.194219732619457,0.07250454060794105,172.88067386295873,0.0011679702259808325,56.58735407034801,36,0.09
1.0,1.2170682384267781,0.07165072968659245,172.08311307601025,0.0013353280783091708,56.89392445453195,37,0.0925
1.0,1.2398521739831647,0.07078813497074411,171.28322353484577,0.0015132958753776974,57.20062633795342,38,0.095
1.0,1.2625701143919699,0.06990569828364376,170.48139322730276,0.0017017200874982438,57.507031613688476,39,0.0975
1.0,1.2852207272837308,0.06908570136421233,169.6779940077344,0.001900439762452716,57.812730779969776,40,0.1
1.0,1.3078027697956855,0.06828387190230276,168.87338182644632,0.002109287065596876,58.117332987524634,41,0.10250000000000001
1.0,1.3303150855611037,0.06748776680488752,168.06789699791852,0.002328087748854583,58.42046599828388,42,0.105
1.0,1.3527566017154928,0.06670240484830788,167.26186450111013,0.002556661555866519,58.7217760662036,43,0.1075
1.0,1.3751263259258248,0.06589432599320563,166.45559430580263,0.0027948225699473287,59.02092775020974,44,0.11
1.0,1.397423343448029,0.0651127603158131,165.6493817202792,0.003042379510955984,59.31760366783618,45,0.1125
1.0,1.4196468142176286,0.06432950675926183,164.84350775602658,0.0032991359866996165,59.61150419759077,46,0.115
1.0,1.4417959699776492,0.06353737866894041,164.03823950533663,0.0035648907040262095,59.90234713771156,47,0.11750000000000001
1.0,1.4638701114473243,0.06273106268695974,163.23383052910242,0.0038394376443513377,60.189867327396996,48,0.12
1.0,1.4858686055349963,0.062005358333422876,162.43052125163632,0.004122566207958818,60.47381623684188,49,0.1225
1.0,1.507790882597826,0.061323812561759554,161.62853936013258,0.004414061331042355,60.75396153141853,50,0.125
1.0,1.5296364337508521,0.060631566196029156,160.8281002068265,0.004713703579089887,61.03008661471023,51,0.1275
1.0,1.551404808227483,0.05992913974235703,160.02940721181804,0.005021269219870941,61.30199015497173,52,0.13
1.0,1.573095610793203,0.05921705370996996,159.23265226509858,0.005336530278943263,61.56948559882375,53,0.1325
1.0,1.5947084992140805,0.058496826028652395,158.4380161263455,0.005659254580271224,61.832400675761505,54,0.135
1.0,1.6162431817813392,0.05778371723418158,157.64566882140738,0.005989205774235739,62.09057689651156,55,0.1375
1.0,1.6376994148931345,0.05711463427173372,156.85577003420048,0.006326143355001945,62.34386904828285,56,0.14
1.0,1.6590770006942872,0.0564627329679491,156.06846949353402,0.00666982266892845,62.592144689003284,57,0.14250000000000002
1.0,1.6803757847747693,0.05579876103404183,155.28390735373875,0.0070199949154163615,62.83528364309669,58,0.145
1.0,1.7015956539274129,0.05512511109468287,154.5022145686251,0.0073764071413500365,63.073177500562394,59,0.1475
1.0,1.7227365339651097,0.05444539202814501,153.72351325838838,0.007738802230043978,63.3057291208848,60,0.15
1.0,1.7437983875978507,0.053754365157516366,152.94791706860482,0.008106918885424958,63.53285214363601,61,0.1525
1.0,1.764781212369508,0.05305233026925554,152.1755315214072,0.00848049161202202,63.75447050657781,62,0.155
1.0,1.7856850386543837,0.05233957663847146,151.40645435817353,0.008859250691250677,63.9705179727049,63,0.1575
1.0,1.8065099277133356,0.05161637530630975,150.64077587374265,0.009242922154455617,64.18093766689415,64,0.16
1.0,1.8272559698091495,0.051065729893146505,149.87857924182956,0.009631227753238176,64.3856816230699,65,0.1625
1.0,1.847923282380835,0.050595076296052546,149.119940831464,0.010023884927777515,64.58471034255898,66,0.165
1.0,1.8685120082762587,0.050124380523440475,148.36493051459544,0.010420606774152984,64.77799236391826,67,0.1675
1.0,1.8793467635628915,0.049654233145815095,147.613611964505,0.010821102012127331,64.96550384494356,68,0.17
1.0,1.8782148984424052,0.04918382285645826,146.86604294520177,0.011225074955488978,65.14722815697546,69,0.17250000000000001
1.0,1.8771494260736334,0.04871328434167246,146.12227559179996,0.01163222548786725,65.32315549174076,70,0.17500000000000002
1.0,1.8761475727226657,0.04824274046904902,145.38235668179843,0.012042249047994525,65.4932824809932,71,0.1775
1.0,1.875206696649614,0.04777230334367494,144.6463278974454,0.012454836629662718,65.65761182891195,72,0.18
1.0,1.8743242806700908,0.04730207526506479,143.9142260792527,0.012869674803156171,65.81615195729731,73,0.1825
1.0,1.8734979252066895,0.04683214959575417,143.18608347065913,0.013286445766703714,65.96891666362906,74,0.185
1.0,1.8727253417935197,0.046362611551051626,142.46192795409993,0.013704827438488484,66.11592479177074,75,0.1875
1.0,1.8720043470000323,0.04589353891821962,141.74178327851587,0.014124493601900583,66.25719991529566,76,0.19
1.0,1.8713328567431962,0.04542589660736267,141.02566927849324,0.014545114118984766,66.39277003323141,77,0.1925
1.0,1.8707088809595729,0.044972570383251975,140.31360208517438,0.014966355229274066,66.52266727805196,78,0.195
1.0,1.8701305186112536,0.04451943033969583,139.60559432911768,0.015387879953259095,66.64692763568887,79,0.1975
1.0,1.8695959530016264,0.04408885138836009,138.90165533521818,0.01580934862143413,66.76559067738582,80,0.2
1.0,1.869103447379004,0.04369371161702347,138.2017913099724,0.016230419550896685,66.87869930303961,81,0.2025
1.0,1.8686513408077632,0.04331095564701676,137.5060055211909,0.016650749891575407,66.98629949583537,82,0.20500000000000002
1.0,1.8682380442883817,0.042930871893615594,136.814298470369,0.017069996662960843,67.08844008787293,83,0.20750000000000002
1.0,1.8678620371090835,0.042570015893768395,136.12666805788118,0.017487817999390438,67.18517253651598,84,0.21
1.0,1.8675218634132849,0.04221737784664153,135.44310974129505,0.01790387461713565,67.27655071106393,85,0.2125
1.0,1.8672161289681424,0.041863999450387546,134.7636166868065,0.01831783150953116,67.36263068963119,86,0.215
1.0,1.8669434981207411,0.041509930981152826,134.0881799142316,0.018729359867045787,67.44347056568745,87,0.2175
1.0,1.8667026909292823,0.041155220889491424,133.41678843553169,0.019138139207610847,67.51913026416618,88,0.22
1.0,1.8664924804578766,0.040805610168508165,132.74942938723805,0.01954385968905322,67.58967136665687,89,0.2225
1.0,1.8663116902241064,0.040458703349552386,132.08608815683635,0.019946224560782926,67.65515694550672,90,0.225
1.0,1.8661591917894782,0.040143418287601554,131.4267485033959,0.020344952696973274,67.71565140642738,91,0.2275
1.0,1.866033902483624,0.03990870790981289,130.77139267263289,0.020739781139575187,67.77122033930347,92,0.23
1.0,1.8659347832536555,0.039671442066299474,130.12000150650783,0.021130467568154232,67.82193037698754,93,0.2325
1.0,1.8658608366308442,0.03943354839825011,129.4725545476454,0.02151679260615554,67.86784906168124,94,0.23500000000000001
1.0,1.8658111048071895,0.039198987880609104,128.82903013872658,0.021898561871168124,67.90904471864039,95,0.23750000000000002
1.0,1.8657846678151584,0.038962121735273456,128.18940551698208,0.022275607680928008,67.94558633696978,96,0.24
1.0,1.8657806418041578,0.03873134191535448,127.55365690411209,0.022647790337569446,67.97754345707409,97,0.2425
1.0,1.8657981774078967,0.038500488158625404,126.92175959155679,0.023014998929514748,68.00498606473899,98,0.245
1.0,1.865836458197136,0.03826790890831206,126.29368802159584,0.023377151612312307,68.0279844912647,99,0.2475
1.0,1.865894699212653,0.03803343255997504,125.66941586416999,0.023734195354860186,68.04660931966137,100,0.25
1.0,1.8659721455737381,0.03779676103939231,125.0489160897523,0.024086105163617835,68.06093129648463,101,0.2525
1.0,1.8660680711576925,0.03755764650025466,124.43216103839909,0.024432882822249615,68.07102124909223,102,0.255
1.0,1.8661817773462173,0.03731614835442433,123.81912248506755,0.024774555205622956,68.0769500081462,103,0.2575
1.0,1.8663125918348058,0.03707232598251298,123.2097717014056,0.02511117224346231,68.07878833507105,104,0.26
1.0,1.8664598675015056,0.03682735906234955,122.60407951421796,0.025442804619334798,68.07660685418416,105,0.2625
1.0,1.866622981331676,0.036583070370509924,122.00201636060973,0.02576954129472976,68.07047598941848,106,0.265
1.0,1.8668013333955633,0.03633658245731536,121.40355234004038,0.026091486946183275,68.06046590533049,107,0.2675
1.0,1.8669943458757263,0.0360879527355526,120.80865726345424,0.0264087593966629,68.04664645215617,108,0.27
1.0,1.867201462141539,0.03583723865920761,120.21730069950873,0.026721487112003735,68.0290871148259,109,0.2725
1.0,1.8674221458681735,0.035584540711826644,119.62945201808266,0.027029806820466944,68.0078569656892,110,0.275
1.0,1.8676558801976038,0.03532989138549369,119.04508043128355,0.02733386129979815,67.98302462067046,111,0.2775
