lambda,minimum_hankel_margin,negative_mass_fraction,nonlinear_source_norm,realizability_margin,source_norm,step,time
1.0,1.8250219669070846,4.015821884970442e-05,0.12739411210537765,0.21098210178851817,1.0879476117507958,1,0.00125
1.0,1.8252445020857482,3.8601347471625974e-05,0.12676566763290562,0.21136747501654016,1.0846260067273574,2,0.0025
1.0,1.825469227623067,3.7042433625527665e-05,0.1261431379867232,0.21175228949311906,1.0813200289249552,3,0.00375
1.0,1.8256961157075402,3.5481530350202416e-05,0.12552645971263768,0.21213654391831713,1.0780295577505181,4,0.005
1.0,1.8259251387708746,3.391869014838422e-05,0.12491557004171222,0.21252023701562253,1.0747544738517527,5,0.00625
1.0,1.8261562694857556,3.23539649910833e-05,0.12431040688212544,0.21290336753171651,1.0714946591022156,6,0.0075
1.0,1.8263894807636678,3.0787406321879146e-05,0.1237109088111643,0.21328593423623857,1.068249996586606,7,0.00875
1.0,1.8266247457527331,2.9219065061195583e-05,0.12311701506733548,0.21366793592155484,1.0650203705862438,8,0.01
1.0,1.8268620378355642,2.7648991610560902e-05,0.12252866554260496,0.2140493714025297,1.0618056665647622,9,0.01125
1.0,1.8271013306271553,2.6077270269227033e-05,0.12194580077474498,0.2144302395162975,1.0586057711539771,10,0.0125
1.0,1.8273425979727906,2.4504017709449085e-05,0.12136836193980599,0.21481053912203985,1.0554205721399608,11,0.01375
1.0,1.8275858139459737,2.295690900075601e-05,0.12079629084470116,0.21519026910076006,1.0522499584492973,12,0.015
1.0,1.8278309528463779,2.27451527003748e-05,0.12022952991989959,0.2155694283550654,1.0490938201355275,13,0.01625
1.0,1.8280779891978338,2.2550955535063708e-05,0.11966802221223037,0.21594801580894782,1.0459520483657703,14,0.0175
1.0,1.8283268977463156,2.2355774967518216e-05,0.11911171137779693,0.21632603040756793,1.0428245354075314,15,0.01875
1.0,1.8285776534579758,2.2159623588084414e-05,0.11856054167499276,0.2167034711170395,1.0397111746156846,16,0.02
1.0,1.8288302315171734,2.197654094720104e-05,0.11801445795762565,0.21708033692421985,1.036611860419632,17,0.02125
1.0,1.829084607324552,2.1814341710877542e-05,0.11747340566813601,0.21745662683649855,1.0335264883106279,18,0.0225
1.0,1.8293407564951134,2.1651258380768414e-05,0.11693733083092521,0.21783233988158857,1.0304549548292798,19,0.02375
1.0,1.829598654856332,2.1487302244194475e-05,0.11640618004577115,0.21820747510732397,1.0273971575532128,20,0.025
1.0,1.8298582784462774,2.1322484490303654e-05,0.11587990048134565,0.21858203158145129,1.0243529950848957,21,0.02625
1.0,1.8301196035117568,2.1156816210802195e-05,0.11535843986882804,0.21895600839143267,1.0213223670396412,22,0.0275
1.0,1.8303826065064928,2.0990308400696345e-05,0.1148417464956033,0.21932940464424128,1.0183051740337439,23,0.02875
1.0,1.8306472640892943,2.082297195901662e-05,0.11432976919905428,0.21970221946616642,1.0153013176727914,24,0.03
1.0,1.8309135531222815,2.0654817689545688e-05,0.11382245736045,0.22007445200261722,1.0123107005401315,25,0.03125
