name,family,components,realizability_margin,exact_beta,exact_gamma_norm,standardized_third_cumulant_norm,standardized_fourth_cumulant_norm,fourth_source_disagreement,tail_disagreement,reconstruction_failure,stage9_fourth_source_error,grad_fourth_source_error,best_algebraic_fourth_source_error,both_algebraic_closures_unsafe,stage9_status,grad_status,source_sensor_active,combined_sensor_active
stage9_symmetric,stage9_regression,2,0.3233271561879729,-0.010516333745077353,0.0,0.0,0.6031708249317389,0.002468487770505847,0.0153025242336669,False,1.976049145363702e-35,0.0024710403527461134,1.976049145363702e-35,False,PASS,PASS,False,False
stage9_asymmetric,stage9_regression,2,0.28381707679835316,-0.013218490403974029,0.05304468292946267,0.2502918046544986,0.46960520013076285,0.008586755010715605,0.009033309383428233,False,3.504879343813261e-18,0.008619319362127927,3.504879343813261e-18,False,PASS,PASS,False,False
stage9_correlated,stage9_regression,2,0.2105961711326594,-0.03565706960977169,0.06301183741634683,0.3006500494792246,0.5996333291461223,0.009860995725334405,0.00923497837050392,False,7.623380238593185e-16,0.009887989535273395,7.623380238593185e-16,False,PASS,PASS,False,False
stage9_leptokurtic,stage9_regression,2,0.2083869307949576,-0.02133027804425121,0.0,0.0,3.739612188365649,0.007999840131395331,0.029426242190105964,False,4.605393568155972e-36,0.00803175568659122,4.605393568155972e-36,False,PASS,PASS,False,False
stage9_rare_hot,stage9_regression,2,0.11555219719097169,0.0,0.0,0.0,34.57493568131157,0.0,0.3939054917596751,False,0.0,0.0,0.0,False,PASS,PASS,False,False
rare_hot_anisotropic_w0.5_r4,rare_hot_anisotropic,2,0.21232497012764243,-0.005542562584220403,0.0,0.0,3.3576711929550225,0.02430997068968455,0.0999751921155713,False,0.014899799863617539,0.009935685722499693,0.009935685722499693,False,PASS,PASS,False,False
rare_hot_anisotropic_w0.5_r25,rare_hot_anisotropic,2,0.20190985133169748,-0.008006891677001094,0.0,0.0,7.123292360886188,0.07812664714797243,0.23018965625403828,False,0.02873528041209423,0.05282066723901679,0.02873528041209423,False,PASS,PASS,False,False
rare_hot_anisotropic_w0.5_r100,rare_hot_anisotropic,2,0.1878582958568874,-0.008489612820159184,0.0,0.0,7.942561463919331,0.09221888789892684,0.2583075061443519,False,0.03145684037645754,0.06516819609459427,0.03145684037645754,True,PASS,PASS,False,False
rare_hot_anisotropic_w0.5_r1000,rare_hot_anisotropic,2,0.18364814896453352,-0.008642959475933047,0.0,0.0,8.20736582833073,0.09693332093800604,0.267241749004049,False,0.032323788752270176,0.06937182751051858,0.032323788752270176,True,PASS,PASS,False,False
rare_hot_anisotropic_w0.1_r4,rare_hot_anisotropic,2,0.22429609903839384,-0.0008199057077249117,0.0,0.0,4.470272298312899,0.0074292775950159555,0.2185941824015482,False,0.01422695432434871,0.007309533955956705,0.007309533955956705,False,PASS,PASS,False,False
