name,family,components,initial_realizability_margin,cubic_beta,gamma_norm,cubic_active,exact_euler_margin,exact_euler_finite,single_gaussian_status,single_gaussian_tail_relative_error,single_gaussian_source_relative_error,single_gaussian_source_direction_cosine,single_gaussian_euler_step_margin,stage9_tensor_mixture_tail_status,stage9_tensor_mixture_tail_tail_relative_error,stage9_tensor_mixture_tail_source_relative_error,stage9_tensor_mixture_tail_source_direction_cosine,stage9_tensor_mixture_tail_euler_step_margin,grad_hyqmom_gqmom_status,grad_hyqmom_gqmom_tail_relative_error,grad_hyqmom_gqmom_source_relative_error,grad_hyqmom_gqmom_source_direction_cosine,grad_hyqmom_gqmom_euler_step_margin,stage9_finite_map_status,stage9_finite_map_margin,guarded_grad_map_status,guarded_grad_map_margin,guarded_grad_map_limiter_fraction
stage9_symmetric,stage9_regression,2,0.3233271561879729,-0.010516333745077353,0.0,True,0.32402552386485,True,PASS,0.3074874431603909,0.051147466055058884,0.9995447088266114,0.32403614630713246,PASS,3.870609226480266e-16,5.750126728075905e-19,0.9999999999999998,0.32402552386484984,PASS,0.015408945373114064,0.002328000793043882,0.9999989772449744,0.3240259674840847,PASS,0.32402429012762757,PASS,0.32402464171545875,1.0
stage9_asymmetric,stage9_regression,2,0.28381707679835316,-0.013218490403974029,0.05304468292946267,True,0.2844385608185059,True,PASS,0.16164454715634666,0.09496565422711448,0.998624274049627,0.2844560069669195,PASS,4.617760530087195e-16,1.1908609226078416e-17,1.0,0.28443856081850577,PASS,0.010775939209382591,0.00790855240390663,0.999988811247169,0.2844399085990059,PASS,0.28443744294442824,PASS,0.2844386145131272,1.0
stage9_correlated,stage9_regression,2,0.2105961711326594,-0.03565706960977169,0.06301183741634683,True,0.21137052468189985,True,PASS,0.12115789404790893,0.11073297908215818,0.9980100920502306,0.2113903587711894,PASS,2.4380700015814016e-15,6.87430098762902e-16,1.0,0.21137052468189985,PASS,0.011829777856161156,0.00901500964613267,0.9999696482548738,0.21136877202212423,PASS,0.21136935110985114,PASS,0.21136739916431055,1.0
stage9_leptokurtic,stage9_regression,2,0.2083869307949576,-0.02133027804425121,0.0,True,0.20972284691088702,True,PASS,0.5978111379778787,0.16993034409706115,0.9995859742574001,0.20960661107597078,PASS,1.9258119839205848e-16,4.2021687308557107e-19,1.0,0.20972284691088686,PASS,0.029863691660322822,0.008009169516876791,0.9999994087386302,0.2097280390167756,PASS,0.2097189212865242,PASS,0.20972461627980957,1.0
stage9_rare_hot,stage9_regression,2,0.11555219719097169,0.0,0.0,False,0.11636480258411022,True,PASS,0.9896586959295648,0.0,1.0000000000000002,0.11636480258411022,PASS,0.42047244313439425,0.0,1.0000000000000002,0.11636480258411022,PASS,0.43522090512738465,0.0,1.0000000000000002,0.11636480258411022,PASS,0.11636072563267146,PASS,0.11636072563267151,1.0
rare_hot_anisotropic_w0.5_r4,rare_hot_anisotropic,2,0.21232497012764243,-0.005542562584220403,0.0,True,0.21256436526317124,True,PASS,0.5896466679419672,0.08517110225315493,0.9998459680041955,0.2125549251267797,PASS,0.06266786373025496,0.01487827317929823,0.9999404637745323,0.21257323605744696,PASS,0.04470672572974717,0.009921331008208101,0.9999914278464371,0.21256595820421437,PASS,0.21256859458740615,PASS,0.21256585905273034,1.0
rare_hot_anisotropic_w0.5_r25,rare_hot_anisotropic,2,0.20190985133169748,-0.008006891677001094,0.0,True,0.20362566765789306,True,PASS,0.7275021217510137,0.1473394722907238,0.9998750952315856,0.20347357502077126,PASS,0.08587842800327788,0.02871689971198745,0.9998131351797623,0.2035865723218619,PASS,0.1991358550261837,0.05278688017203721,0.9999330980184807,0.20368681644535455,PASS,0.20361141534465813,PASS,0.20368049329216145,1.0
rare_hot_anisotropic_w0.5_r100,rare_hot_anisotropic,2,0.1878582958568874,-0.008489612820159184,0.0,True,0.1895485239448082,True,PASS,0.744495678696784,0.15957493814316578,0.9998894564189702,0.18938798354900122,PASS,0.08886554988059515,0.03143906138992967,0.9997809666364155,0.18950690919006746,PASS,0.2348840625623197,0.06513136389954398,0.9999080549938862,0.18962256657300902,PASS,0.18953530100132046,PASS,0.18961632272431309,1.0
rare_hot_anisotropic_w0.5_r1000,rare_hot_anisotropic,2,0.18364814896453352,-0.008642959475933047,0.0,True,0.18532887104708476,True,PASS,0.7494531844588015,0.16347699219416215,0.9998940977107043,0.18516591062226945,PASS,0.089741560730532,0.03230619041724277,0.9997702099484124,0.18528652951079413,PASS,0.2464501909993302,0.06933405877395896,0.9998986152452605,0.18540714806130743,PASS,0.18531605385030941,PASS,0.18540093535112911,1.0
rare_hot_anisotropic_w0.1_r4,rare_hot_anisotropic,2,0.22429609903839384,-0.0008199057077249117,0.0,True,0.22455482938300408,True,PASS,0.8208930551732141,0.027336350790722778,0.9999971542349999,0.2245477324307455,PASS,0.3851781879909654,0.014223698151657548,0.9999977267278184,0.2245517103229412,PASS,0.2596204476270989,0.007307860997408454,0.9999993781519324,0.22455274481924098,PASS,0.22455037899711747,PASS,0.22455158707227674,1.0
rare_hot_anisotropic_w0.1_r25,rare_hot_anisotropic,2,0.08887522854348345,-0.004682230773056003,0.0,True,0.08990666448644234,True,PASS,0.9798333949003422,0.28192283502446325,0.9997795690810787,0.08968444733608393,PASS,0.3989860049798992,0.07185902546430722,0.9977726802496341,0.08987797728878696,PASS,0.18764979713104377,0.07893831982605813,0.9997990343199203,0.0899734727344558,PASS,0.08980809614322381,PASS,0.08996935338355136,1.0
rare_hot_anisotropic_w0.1_r100,rare_hot_anisotropic,2,0.05167966313393822,-0.007289162560259561,0.0,True,0.05240589574241958,True,PASS,0.9878980914017007,0.49832289722551626,0.9984653819481702,0.05214397374423755,PASS,0.880337566843962,0.28747482485935044,0.9908068524070153,0.05245753133048051,PASS,0.3959774284119176,0.26557211435765044,0.9993251338210678,0.05256179354221421,PASS,0.052309897306489224,PASS,0.05255905320617755,1.0
rare_hot_anisotropic_w0.1_r1000,rare_hot_anisotropic,2,0.04202963546421899,-0.008506448934656862,0.0,True,0.04265894983892782,True,PASS,0.9898019698126185,0.6089349886380347,0.9966787400299603,0.042388203348964155,PASS,1.0977627124878182,0.4519949988424018,0.9867851144507368,0.04275356437502215,PASS,0.4819300757544235,0.3866120924051696,0.9989829465374768,0.04285387692361015,PASS,0.04257051279335642,PASS,0.04285154277247228,1.0
rare_hot_anisotropic_w0.02_r4,rare_hot_anisotropic,2,0.23691042112448404,-4.9328609685123005e-05,0.0,True,0.23687454734340715,True,PASS,0.6706057064746067,0.002026604346116625,0.9999999886318934,0.23687463442047246,PASS,0.390913462457355,0.001251046357170874,0.9999999911114751,0.23687462670742415,PASS,0.3890292349618458,0.0011017933491421666,0.9999999958059224,0.23687455997264706,PASS,0.23687479699982278,PASS,0.2368747606499677,1.0
rare_hot_anisotropic_w0.02_r25,rare_hot_anisotropic,2,0.10139872260756397,-0.000988432938943159,0.0,True,0.10240137193743123,True,PASS,0.9941329369891092,0.13579493072171453,0.9999415137020028,0.1022826253217598,PASS,0.2074978010540767,0.04598109141555164,0.9997222505854484,0.10234804610601651,PASS,0.350702976448099,0.03871855271484143,0.9999801620537945,0.10236805408090917,PASS,0.10231232998141687,PASS,0.10236366436456253,1.0
rare_hot_anisotropic_w0.02_r100,rare_hot_anisotropic,2,0.02339211654273644,-0.003900839618865991,0.0,True,0.02378915747092669,True,PASS,0.9989955909168136,0.7231028706718954,0.9866868268598769,0.023549505816713577,PASS,1.664731219684272,0.8526939235034358,0.9743911710395917,0.023935177291818863,PASS,0.17089385321284772,0.18528201112573567,0.9986840057831676,0.023854409246929217,PASS,0.023645121024591938,PASS,0.023853136012624777,1.0
