family,count,minimum_initial_margin,grad_source_median,grad_source_p90,stage9_source_median,stage9_source_p90,grad_guard_limited,grad_guard_minimum_lambda
near_delta_counterstream,5,6.917967503853064e-08,0.04554810591222908,0.11402887813997861,7.256291350107718e-16,1.2443241080853312e-15,0,1.0
near_delta_crossing,5,3.3428649059479245e-07,0.021132976291272833,0.05619067158530493,8.61956346332897e-16,1.193018642171931e-15,0,1.0
near_delta_rare_beam,5,1.0266483898475671e-06,0.26462408523766473,0.5932574982024571,7.110543364753101e-13,0.08208718083842387,1,0.2229207770215048
random_multivariate_mixture,256,5.476087173871162e-10,0.4407780669277851,3.489236155633671,1.1257436128907319,16.656512240333047,100,0.0008047336178770344
rare_hot_anisotropic,16,0.0034424861412272892,0.06723271133675146,0.6698953073039289,0.0391436409163972,2.444006099422025,0,1.0
stage9_regression,5,0.11555219719097169,0.00795886096039171,0.008713257607355907,6.241810949443003e-18,4.84773651901855e-16,0,1.0
