case,label,points_per_component,total_positive_nodes,minimum_weight,dt_over_tau,steps,elapsed_seconds,minimum_raw_realizability_margin,minimum_alpha,maximum_energy_drift,maximum_momentum_drift,M400_error_vs_stage11_particle,M400_difference_vs_finest_qmc,degree4_rmse_vs_finest_qmc,final_M400_particle_z_score
rare_beam_ma20,qmc_8k_dt,8192,16384,9.765625e-06,0.0025,400,7.166479977000563,0.0006225776929981408,1.0000003133517739,4.618527782440651e-14,5.5743140044720396e-15,0.0053527816876203565,0.015351401562340272,0.18946191270804316,-1.1425159800752627
rare_beam_ma20,qmc_32k_dt,32768,65536,2.44140625e-06,0.0025,400,32.31948193899734,0.0006240955606568954,1.0000002963752028,1.1057821325266559e-13,9.13262018719812e-15,0.012206887523020819,0.005881747540454035,0.07437469102095412,0.649388413941046
rare_beam_ma20,qmc_32k_half_dt,32768,65536,2.44140625e-06,0.00125,800,56.77644644900283,0.0006240955606568954,1.0000000756542466,9.903189379656396e-14,1.3300423655815511e-14,0.013174516214422605,0.0,0.0,4.370071839659876
rare_hot_anisotropic_w0.02_r25,qmc_8k_dt,8192,16384,2.44140625e-06,0.0025,400,12.869574944998021,0.10156799389492484,1.0000000000808775,2.7533531010703882e-14,9.363635048083888e-17,0.029221006779675315,0.013823820695590199,0.07503090962997351,1.2886044210837115
rare_hot_anisotropic_w0.02_r25,qmc_32k_dt,32768,65536,6.103515625e-07,0.0025,400,29.575212640003883,0.10133248835642449,1.0000000000125626,6.439293542825908e-14,1.6252214516194948e-16,0.03553762015579358,0.00559357032891799,0.02694992185125148,0.9455157517210766
rare_hot_anisotropic_w0.02_r25,qmc_32k_half_dt,32768,65536,6.103515625e-07,0.00125,800,59.697274475001905,0.10133248835642449,1.0000000000074432,6.350475700855895e-14,1.0091876977362443e-16,0.03724494666991527,0.0,0.0,0.9790544994194517
