moment,total_degree,stage9_finite_mixture,grad_hyqmom,fine_qmc_mean,fine_qmc_sem,particle_mean,particle_sem,stage9_minus_qmc_scaled,grad_minus_qmc_scaled,particle_minus_qmc_scaled
M080,8,57.00673845547144,57.47568530015955,53.95592007900519,0.12586720275787397,55.30788550622045,1.0426248353482739,3.0508183764662573,3.5197652211543633,1.351965427215264
M107,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M116,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M125,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M134,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M143,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M152,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M161,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M170,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M206,8,12.129014710855213,11.731135191029217,11.657551457297883,0.055216399542410234,11.646968871008816,0.1950389980822857,0.4714632535573304,0.07358373373133463,-0.010582586289066512
M215,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M224,8,2.448545514348694,2.336405662298806,2.328740046985337,0.008927307624591756,2.3430314990110874,0.03814817610053344,0.11980546736335701,0.007665615313468887,0.014291452025750237
M233,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M242,8,2.4485455143486954,2.336405662298807,2.2199134041384188,0.005700792202275506,2.3494265041969276,0.0440357558020251,0.22863211021027693,0.11649225816038837,0.12951310005850897
M251,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M260,8,12.129014710855232,11.731135191029217,11.233670305906369,0.03383113299614259,11.67054756321797,0.13555739830671026,0.8953444049488647,0.49746488512284937,0.436877257311601
M305,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M314,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M323,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M332,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M341,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M350,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M404,8,9.883391065421995,9.44755527711834,9.629913646939167,0.03501523118929351,9.394768442383764,0.14351884292128855,0.25347741848282757,-0.18235836982082734,-0.2351452045554033
M413,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M422,8,3.311043438140659,3.1483054055892596,3.123616936462593,0.004490393966770576,3.168667143027838,0.046159168235021836,0.18742650167806632,0.0246884691266667,0.04505020656524523
M431,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M440,8,9.883391065421987,9.447555277118338,9.316043970505651,0.04107325445889811,9.498964138556046,0.10232073208166913,0.5673470949163367,0.13151130661268712,0.1829201680503945
M503,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M512,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M521,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M530,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M602,8,21.103738408549024,20.812551427616974,20.5883619786948,0.03950494275625544,20.015219151485972,0.2175201450412701,0.5153764298542256,0.22418944892217527,-0.5731428272088274
M611,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M620,8,21.10373840854898,20.81255142761697,20.258783862878058,0.06715906716615645,20.655774084145552,0.29326578503450995,0.8449545456709242,0.553767564738913,0.3969902212674944
M701,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M710,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M800,8,181.47951339052997,193.0419368386918,175.3664676245844,0.4071283810308819,177.96347997115697,1.398152662968213,6.1130457659455795,17.675469214107434,2.5970123465725727
