case,initial_source_disagreement,initial_tail_disagreement,initial_standardized_skewness_norm,initial_sensor_active,replicates,micro_active_fraction,blocked_activation_steps,chatter_events,transition_count,adaptive_M400_error_vs_particle,stage9_M400_error_vs_particle,adaptive_M400_error_vs_QMC,M400_scramble_relative_spread,adaptive_all35_error_vs_particle,stage9_all35_error_vs_particle,minimum_realizability_margin,maximum_projection_relative_residual,minimum_micro_probability,maximum_mass_drift,maximum_momentum_drift,maximum_temperature_drift,elapsed_seconds_sum
stage9_correlated,0.009860995725334405,0.00923497837050392,0.15769345288406575,False,1,0.0,0,0,0,0.0043397557947914564,0.0043397557947914564,,0.0,0.00432428395564563,0.00432428395564563,0.2105961711326594,0.0,1.0,0.0,0.0,5.551115123125783e-16,11.046170534005796
rare_hot_anisotropic_w0.02_r25,0.02790917135613975,0.40267000996075686,0.0,False,1,0.0,0,0,0,0.04446720099686933,0.04446720099686933,0.016440351703589363,0.0,0.0489040357323088,0.0489040357323088,0.10139872260756397,0.0,1.0,0.0,0.0,4.440892098500626e-16,10.967970211997454
counterstream_ma20,0.015899549505393292,0.009621876538188662,0.0,False,1,0.0,0,0,0,0.0019553497361371104,0.0019553497361371104,,0.0,0.0023833348039745766,0.0023833348039745766,4.24820065101315e-05,0.0,1.0,0.0,0.0,1.3322676295501878e-15,11.092638543996145
crossing_ma20,0.007447870291513363,0.021551824376495884,0.0,False,1,0.0,0,0,0,0.003178279263898415,0.003178279263898415,,0.0,0.0026448505826935954,0.0026448505826935954,0.0002002919811992695,0.0,1.0,0.0,0.0,2.220446049250313e-15,11.059330762000172
rare_beam_ma20,0.8203912612300935,0.029259900335139352,2.9832194439500124,True,4,1.0,0,0,0,0.016639493968031382,0.16589898415992133,0.011212151839450747,0.023305158069489264,0.016545087748753046,0.16413022195252805,0.0006246963247817812,5.45742810687838e-11,4.891608008752576e-05,2.220446049250313e-16,2.9783633958732034e-11,5.269551461850597e-11,61.65460015600547
counterstream_ma100,0.0006525112906279188,0.000399380611516941,0.0,False,1,0.0,0,0,0,0.0019827890647727033,0.0019827890647727033,,0.0,0.002398588001434239,0.002398588001434239,6.917967503853064e-08,0.0,1.0,0.0,0.0,1.3322676295501878e-15,11.174383385005058
