x,refined_rho,refined_velocity_x,refined_theta,refined_stress_xx,refined_heat_flux_x,refined_M300,refined_M400,refined_M420,coarse_rho,coarse_velocity_x,coarse_theta,coarse_stress_xx,coarse_heat_flux_x,coarse_M300,coarse_M400,coarse_M420,adaptive_rho,adaptive_velocity_x,adaptive_theta,adaptive_stress_xx,adaptive_heat_flux_x,adaptive_M300,adaptive_M400,adaptive_M420
-11.75,1.0000004537479925,2.5819866874719195,1.0000010882143822,-7.234696061786394e-06,-4.176471177563812e-06,24.95924207564226,87.44456143380899,87.44435192444746,1.0000006313343723,2.581986884360658,1.0000027404282188,-2.319427165664578e-06,-8.225485237822738e-06,24.959219702654583,87.4443763190822,87.44443424109343,0.9999639611385012,2.582096671611787,0.9999000775384892,0.0001643030033707804,0.0002933323477665173,24.959322652163454,87.44488898618417,87.44445011107345
-11.25,0.999999949110463,2.5819877921988645,1.000000064614113,-8.379119832646609e-06,-2.6916320241543445e-06,24.959258849370975,87.44467299521031,87.44431696667267,0.9999998071717474,2.5819896801004107,1.0000003637179895,2.8408115877454065e-06,-4.5456821808897985e-06,24.95921193953073,87.44433432968508,87.44441564196813,0.9999795706935711,2.5820427872644083,0.9999380310593852,2.1682768578834555e-05,0.00014018344649380232,24.959363411459265,87.44523536456467,87.44456269536127
-10.75,0.9999998692547409,2.581988265071677,0.999999728899892,-9.268093852821124e-06,-1.3093866522151387e-06,24.95927497846625,87.44477147676689,87.44433484913726,1.0000000007980008,2.5819895031503646,0.9999997400839717,4.2067810805956896e-06,-1.6122697037435074e-06,24.95920260654506,87.44430261603814,87.44440875423139,1.0000102502255583,2.5819833476702536,1.0000142881685194,7.536758630521945e-05,6.944321447432955e-05,24.959310693770778,87.44481675739482,87.44448798313894
-10.25,0.9999999003236221,2.5819885117625248,0.9999997645588095,-9.928441044193548e-06,-5.023147910954151e-07,24.959288587117666,87.44484898107193,87.4443766703066,1.0000000751167077,2.5819890658089113,0.9999997783192799,4.305212509492229e-06,-6.476053715509522e-08,24.95919670360433,87.4442890887216,87.44441736563698,0.999990593290053,2.5820137926227975,0.9999873840077494,7.124599457464242e-05,8.432199611108082e-05,24.959126391744576,87.4437140495101,87.44592601045545
-9.75,0.9999999385105024,2.581988689324018,0.9999998734058789,-1.0318484204852041e-05,-1.2493405976421457e-07,24.95929832354529,87.4449008370352,87.44441536593818,1.0000000404482352,2.581988898601431,0.9999999198637136,4.163394537792797e-06,4.5180538044142793e-07,24.959195082141264,87.44428744326302,87.44442894705566,1.0000093337979519,2.581958739897775,1.0000165444245808,-8.084460568302809e-05,-0.0001075866940056791,24.959216241118927,87.4445207161652,87.443684063275
-9.25,0.9999999679488683,2.5819888036488052,0.9999999498339079,-1.0509081686538302e-05,7.877354768481837e-09,24.95930405637978,87.4449294453797,87.44443968573884,1.0000000096928967,2.581988881149878,1.0000000014201196,4.069813025253666e-06,4.4794619769028543e-07,24.9591952274461,87.44428694104865,87.44443358375075,0.9999403919452892,2.582166765925963,0.9998307964532925,0.00027919852391633526,0.0005411289019097154,24.959332144685572,87.44514534045416,87.44346441366199
-8.75,0.9999999861023533,2.5819888625287057,0.9999999855708985,-1.0586267055745502e-05,3.281018701173366e-08,24.959306802522466,87.44494223078581,87.44445108592576,1.0000000003224652,2.581988894353034,1.0000000231786987,4.047114660510331e-06,2.919478139240539e-07,24.95919533419228,87.44428384510665,87.44443134641499,0.999988884713456,2.582026423493528,0.9999638672848749,5.666231083034656e-05,0.00012968965335025118,24.95934021099238,87.4450453123503,87.44337687782257
-8.25,0.9999999950146536,2.5819888868608976,0.9999999978017019,-1.0611458482245872e-05,2.436882029499543e-08,24.95930786369266,87.44494673739102,87.44445508295252,0.9999999996652758,2.5819889012188413,1.00000001899085,4.056789952189277e-06,1.5210056680814432e-07,24.959195100087783,87.44427968880595,87.44442670325755,1.0000878763815668,2.5817142035558365,1.0002614128519436,-0.00047126336515046496,-0.0008688253293882564,24.95907123233567,87.44335085073146,87.44549640780824
-7.75,0.999999998533586,2.5819888949314223,1.0000000006879284,-1.0617612590801961e-05,1.1955817891262654e-08,24.959308185082733,87.44494789009214,87.44445601993138,1.0000000001558147,2.5819889013447908,1.0000000105685656,4.070859225491219e-06,6.687674858341097e-08,24.95919477872818,87.44427637389728,87.44442284098692,0.9999422614611269,2.582172301161676,0.9998269466126901,0.00033123573647586557,0.0005638578821567375,24.95927022590255,87.44489855710748,87.44431997747336
-7.25,0.9999999997002157,2.5819888967822187,1.0000000014201018,-1.0619280921941865e-05,-8.887586222527943e-10,24.959308251298104,87.4449480317403,87.44445606902907,1.0000000002945622,2.5819888994362925,1.0000000053320914,4.079312095006671e-06,2.088095452101868e-08,24.959194544798777,87.44427443310106,87.44442058265801,1.000093334306121,2.58170672497229,1.000276785146908,-0.000455107216755124,-0.000907499461466621,24.959124436858325,87.44383071700324,87.44596631454432
-6.75,1.000000000288922,2.581988895346314,1.0000000050507327,-1.0625905379813005e-05,-3.9047270083969465e-08,24.959308239860256,87.4449480225079,87.44445602429799,1.000000000467639,2.5819888965242273,1.0000000060274068,4.077633140031622e-06,-2.750980043764173e-08,24.959194408422206,87.44427355930748,87.444419572484,0.9999481299834005,2.5821294558037087,0.9998504232267403,0.00016962595924696622,0.00046353129955467587,24.959238168855563,87.44458565965675,87.4434949751899
-6.25,1.0000000022984303,2.581988883762736,1.0000000290605353,-1.0668572812289057e-05,-2.4894150274512583e-07,24.95930814188622,87.44494824238349,87.44445621778661,1.0000000021271565,2.5819888854644466,1.0000000267578493,4.040654660864007e-06,-2.231578102307452e-07,24.959194271042083,87.44427344322385,87.44441940732818,1.0000030051125632,2.5819856213220995,1.0000041170916214,3.119643022131413e-06,-2.111232194068613e-05,24.959265035206688,87.44469963477091,87.44374004740364
-5.75,1.0000000144772765,2.581988813246303,1.0000001724507788,-1.0920841255535052e-05,-1.4467266198359141e-06,24.959307625204623,87.44494957114658,87.44445732057413,1.0000000130338842,2.5819888215184204,1.0000001565601941,3.8120430263521854e-06,-1.317309187287563e-06,24.95919377969899,87.44427456570818,87.44442039305163,0.9999761927899627,2.582065552025226,0.9999307131519473,0.0001522292552383897,0.0002642978693558895,24.95924804913291,87.44447745721074,87.44473904482851
-5.25,1.0000000870451209,2.5819884039108465,1.0000009854048626,-1.2336051653960567e-05,-8.004387338278462e-06,24.95930494368583,87.44495587393435,87.44446159299008,1.0000000787368755,2.5819884491540104,1.000000898596631,2.5189559946792173e-06,-7.331284039180375e-06,24.95919129710561,87.444280361316,87.44442477473139,0.9999791821616145,2.5820641085419482,0.9999366312270265,0.00017485356146595965,0.0002594407816065569,24.959270119213702,87.4446032708417,87.44449691282608
-4.75,1.000000499750261,2.581986137303845,1.000005379418855,-1.9892036620783315e-05,-4.220595051540599e-05,24.95929166354169,87.44498322703693,87.44447404404237,1.0000004552888515,2.5819863720283474,1.0000049391748798,-4.436525966822202e-06,-3.8907015804889866e-05,24.95917895766841,87.44430569118342,87.44443871843902,1.000020930327934,2.5819115713463567,1.0000663077663066,-0.00018309934401616879,-0.00026471235430070017,24.95917821748638,87.4442453442723,87.44464697202392
-4.25,1.0000027276870762,2.5819742190331367,1.0000279484699308,-5.813968810475245e-05,-0.00021146381715042573,24.95922937752423,87.44509210729716,87.44448656735239,1.000002503269253,2.581975365677921,1.0000258536982567,-3.991401963232555e-05,-0.00019630519351765408,24.959120753319194,87.44440684478187,87.44446164088009,0.9999761856728009,2.582073869715025,0.9999248900943076,0.00019632902286037535,0.0003012241412398975,24.959247962003392,87.44450173899591,87.44438612461039
-3.75,1.0000140988818111,2.5819150181054704,1.0001374653378958,-0.00024048415299859904,-0.0010007714760218445,24.958954773610827,87.44548293089912,87.44430765624882,1.000013027620232,2.5819203280451544,1.0001279954447198,-0.000210087874030096,-0.0009344014330419093,24.958863257713677,87.44477128388569,87.44433696224395,0.9994960104128111,2.590774192722697,1.000240042766702,-0.00037061152997819313,-0.0069625742493857334,25.14107495626746,88.25179734183597,88.25906870609562
-3.25,1.000069077881953,2.5816377275135722,1.0006372577061946,-0.0010551317388300951,-0.004446021794183519,24.95782326048257,87.4467046943641,87.44249190164781,1.0000642689105976,2.581661062312757,1.0005961899231233,-0.000973345674984305,-0.004164366884008119,24.957803085280077,87.44591509112878,87.4427395115781,0.9988820210103558,2.5905655929013958,1.000415349505289,-0.0006002013486685609,-0.012691725955832567,25.113704026325184,88.21233734013751,88.38430631410107
-2.75,1.000320301252962,2.5804162111375657,1.0027766888231269,-0.004456383835834243,-0.018485065899118247,24.953440173591893,87.4497330177235,87.43194146235906,1.0003007063544458,2.5805101773830565,1.0026114328438736,-0.004176581489668152,-0.0173664048401887,24.953701113915695,87.44872768630846,87.43278012849751,0.9989394583226399,2.590434124169724,1.0021750084893533,-0.0034258808580991396,-0.03071488040296244,25.114945781822566,88.31384154108595,88.60201412329853
-2.25,1.0013852743492315,2.575442731475293,1.0112316955035696,-0.017511722814522956,-0.07109719933391756,24.9373410237598,87.4541769516064,87.39570896885162,1.001317922948079,2.5757650928316687,1.0106579205466513,-0.016601171278212368,-0.06724829013162203,24.938568406293392,87.45255215023946,87.39583651219012,1.0002133703050293,2.586437234175334,1.0074273129371454,-0.011178682040084542,-0.05976110710780036,25.10530921028864,88.28609874287487,88.44845887251873
-1.75,1.005452918720381,2.5573964415128834,1.0408589112193996,-0.06167697543781214,-0.24444135168144765,24.881822848151938,87.44631861852045,87.39614539831267,1.0052680235206728,2.5582821709915065,1.03925609317457,-0.05925117704653915,-0.23387769827808413,24.885665752175505,87.44316463440535,87.38229829133743,1.0046067702679404,2.567506418028938,1.0344716067658182,-0.0527195665701683,-0.19240400511799893,25.070363761299042,88.20398087225837,88.13616134288425
-1.25,1.019371216696828,2.5005041500757494,1.1292498521215606,-0.1878492552007438,-0.7157922294905563,24.712494905935177,87.33507519943554,87.93055488411089,1.0188895209559719,2.5026182539312343,1.1256119080072429,-0.18259087926092787,-0.6938051893259904,24.721252805414046,87.33050574814027,87.87408901528006,1.0220987023206982,2.499131017523452,1.132654744210314,-0.19494790961872166,-0.6819429839083244,24.88325521698372,87.97892356585675,88.4943870699851
-0.75,1.0639668296712355,2.343523287135076,1.3471794871954128,-0.4844417392073985,-1.6777795708110324,24.28002014410908,86.77939956610517,90.2586508890073,1.0616465710597902,2.3504349501752486,1.3386750001495775,-0.4728823577818808,-1.6441535887173944,24.296913009957734,86.78592584676318,90.13018206707233,1.0611278307150196,2.3563447588974986,1.3423366429711237,-0.47781652834720023,-1.6683617934195145,24.44250358275054,87.31810757269176,90.54282051748139
-0.25,1.20664936978953,1.972362077304146,1.7379913395725086,-1.005705946358359,-2.6662528040316786,23.353910941636506,85.08205981846557,96.33837286470633,1.1875957224846885,2.0063551930901085,1.7178723750789893,-0.9790348268256581,-2.68979987357279,23.40104670511778,85.1834186164983,96.03030230833492,1.1888858072340818,2.0087676370935643,1.7192128359421572,-0.9832619846245931,-2.7113687048098667,23.47747686600992,85.39425873729938,96.1357535305519
0.25,1.9745522045295096,1.2930018978919966,1.9854641879643387,-1.00080900242763,-1.2946537634700486,22.536429323922317,82.46866123572872,109.7835672024509,1.9914183468193083,1.286156984984811,1.9827541751765152,-0.9978325799742618,-1.2644337925171263,22.570821973710757,82.55289147783624,109.83826506815431,1.9935292870440702,1.2854024802182622,1.9839523266946053,-1.0041052936159303,-1.2708049463578914,22.593660104968396,82.60008967038831,109.80648469635933
0.75,2.238940262804931,1.2106662182777976,2.0049342299288795,-0.5325433475079038,-0.7178587117409738,22.009942639692767,79.55561154188348,122.5404006752467,2.242421840890989,1.2113177153165486,2.003731466958858,-0.5308550212226306,-0.7216999665962116,22.0327092821176,79.5903092374033,122.69059638817988,2.247364784035594,1.2066039292490442,2.006404678491856,-0.542628945429743,-0.7132143911956659,22.0302684479974,79.58962418806101,122.538057568209
1.25,2.3059410494937573,1.1783990957361756,2.0377411374871888,-0.26156937812700587,-0.4041044614280449,21.224353695829592,76.37375634442202,132.54830855605783,2.3072150170217944,1.1788580568075546,2.03725578743396,-0.26020606960027415,-0.4071289764618231,21.22912697607846,76.35483619877273,132.67178153921554,2.287489012241578,1.1632108573452467,2.025120108287943,-0.33297535920298404,-0.6139099818705072,20.807174840286176,74.88134769851018,146.19794261685598
1.75,2.307384389829972,1.1563157022659967,2.060912020047918,-0.12024781094381076,-0.2000060481549495,20.443254897688863,73.49824376624507,138.71905054994068,2.3078371016402675,1.1563749521507702,2.060686894704611,-0.11902756530418479,-0.20127994592392762,20.43733400540594,73.4524297546116,138.78007514841673,2.330843305096426,1.1324633216576596,2.064253017709819,-0.07564945004491097,0.019900343797405018,20.12323889431114,72.4125835161053,147.6996706976742
2.25,2.297436510504929,1.1420393771706878,2.0720899242399855,-0.050647991236553835,-0.08595923435393926,19.89215443849704,71.5060900982438,141.97117656954384,2.297534225901735,1.1419643238111543,2.071970058946376,-0.04975135534910535,-0.08653857958669509,19.884267212135597,71.46253666616992,141.98944118319818,2.2864466357218225,1.1412362527159425,2.0783339821002627,-0.01921954438662965,-0.06701219783143841,19.67133492194924,70.85060321081664,146.8852180984636
2.75,2.2905242072110408,1.1345262685471096,2.076267900690901,-0.019133210866760564,-0.03298770799745254,19.591856363389475,70.41841416844903,143.54457765549773,2.2905188251176907,1.1344511464742482,2.0762032077842463,-0.018590569200027218,-0.03328375288735508,19.586171022862107,70.38955650917596,143.54595715667242,2.298975519027477,1.124781478962855,2.07459676651308,-0.01234635643478832,0.0719338279867876,19.51136215079733,70.11388650511543,144.66245060272337
3.25,2.2873539237371303,1.131281725077792,2.077576802988752,-0.0063919314331144506,-0.011735683122235496,19.459290256149885,69.93755431294234,144.27785365014446,2.2873367448812916,1.1312382404547923,2.0775454349439797,-0.006107763613732331,-0.011881541494679126,19.456213104019906,69.9223538502523,144.27583784723444,2.2823253663637275,1.1339083855304135,2.0751063468370856,0.0009541672108079879,-0.004809265976324362,19.426774203081923,69.80335176977225,144.821851468661
3.75,2.2861945215382415,1.130104646737761,2.077953033120943,-0.0018702554847331854,-0.004006125637662894,19.41079550558571,69.763762293322,144.61126307541858,2.2861844883209033,1.1300854295957505,2.0779399747114002,-0.0017296736336227525,-0.004068250446958466,19.409398201880485,69.75688582999258,144.60965055347526,2.2824180221991828,1.131083179822594,2.0778233451507937,0.00468941871386086,-0.01429009825226224,19.358006080681633,69.51233265715582,144.9427959371738
4.25,2.2858365073212545,1.129740777845662,2.078065154067182,-0.00047903738386523287,-0.0013404711853719498,19.396076534277128,69.71336249436743,144.75692223596528,2.285832421823383,1.12973376805873,2.0780605290997243,-0.0004031641195085811,-0.0013622373157446965,19.395485643759578,69.71041058253913,144.75587389950127,2.2857147381596032,1.1292899238360843,2.0775042028915576,-0.004077112203899169,0.0014648416733020753,19.362372078716284,69.64195279500333,145.07142329260512
4.75,2.285741177630834,1.1296449182541353,2.078103096859348,-0.00011518788598774421,-0.00044077116985974385,19.392482883667178,69.7026657259734,144.8167134524129,2.285739833362786,1.1296427372303153,2.0781017090973433,-6.381739580607615e-05,-0.00044673895020697074,19.392206110692896,69.70123048158446,144.8158385393367,2.2850957984568994,1.1293424576594626,2.0843554345818833,0.0010807631835305642,-0.03423480115738986,19.432811753646195,69.95048629948329,145.41949509527478
5.25,2.285719253530458,1.1296238666596783,2.0781171978916775,-3.8195548170527616e-05,-0.00014074058615998197,19.391862037152745,69.7017475135839,144.839410988373,2.2857188781946944,1.1296232797122454,2.0781168506374144,5.231501027935792e-06,-0.0001418374346719986,19.391687991404225,69.70080425526919,144.838517787819,2.284141203445571,1.1312345852941064,2.0738844005635295,-0.0014421653860789974,0.042191176423924226,19.40817353671044,69.69971059171718,144.91663697092585
5.75,2.285714984904084,1.1296203075143476,2.0781224158438865,-2.7108496507111113e-05,-4.293533689292417e-05,19.39183977871709,69.70228089893921,144.84732111560564,2.2857148942794763,1.1296201707691922,2.078122347098043,1.4097809446944609e-05,-4.294293949236305e-05,19.39169426521042,69.7014720532801,144.84637908106183,2.2892969800529905,1.127734852866539,2.077230134305983,-0.004108634740209283,0.0029264154510832974,19.373994760239373,69.68733740387594,145.09577921916843
6.25,2.285714328669939,1.1296199973168588,2.0781242170806533,-2.7212092238215746e-05,-1.2349644792131187e-05,19.39187791716753,69.70265936794097,144.8498483331146,2.285714309707436,1.1296199701458722,2.078124208368014,1.3461158588690125e-05,-1.2248608562526186e-05,19.391739083333622,69.7018807973667,144.8488749538458,2.2858645016073957,1.1281631064345092,2.0833654844018294,-0.0026764080723991057,-0.024831377054675308,19.426960020695024,69.89377581249954,144.76085834972844
6.75,2.2857142703711135,1.1296200700901093,2.0781247834949386,-2.8014190500691427e-05,-3.3222120605636007e-06,19.391898719218666,69.70281695994767,144.85058981867238,2.2857142669918797,1.1296200656952597,2.0781247839671337,1.2551726260134899e-05,-3.267624729463847e-06,19.391761150720647,69.70204356751856,144.84960236643394,2.288263675733949,1.128795131079097,2.07425727578569,0.005571648447627808,0.03970400146871045,19.381575040309446,69.60509580102303,144.95575898324313
7.25,2.2857142778250927,1.1296201193369844,2.078124945205932,-2.8381693398138452e-05,-8.32899690106359e-07,19.39190622255118,69.70286923153124,144.85079021431503,2.2857142773626524,1.1296201187980728,2.078124946062873,1.2167125312601001e-05,-8.142954541767722e-07,19.391768818894537,69.70209627983508,144.84979764491734,2.279483059826722,1.1333946485155606,2.0788382102060097,-0.002765691702451001,-0.024526863254147102,19.378643662513493,69.6661169593379,144.8428452398823
7.75,2.2857142833462865,1.129620136503007,2.078124987312544,-2.8500912641504783e-05,-1.953613470995208e-07,19.39190843713853,69.70288417860986,144.8508402813702,2.2857142834037902,1.1296201362702185,2.078124988051758,1.2045218346301567e-05,-1.9595550426743102e-07,19.391771028631094,69.70211113364797,144.84984615919126,2.292732801938045,1.1249331658310109,2.077415238170406,0.0005694860412264191,0.031700820349484626,19.417220133990387,69.77261479316111,144.3804830033418
8.25,2.285714285120261,1.1296201412190872,2.078124997415347,-2.8533346235093404e-05,-4.562534750007785e-08,19.3919090049892,69.70288800072946,144.85085190784028,2.285714285499545,1.1296201403810904,2.0781249990146056,1.2008739961544279e-05,-6.712771094541381e-08,19.39177156783333,69.70211496558152,144.84985751401206,2.2800816616297883,1.1332417122659006,2.0791372746599506,0.0026162273618624,-0.02448584382427299,19.371088842761147,69.64932804933889,144.45635206429694
8.75,2.2857142853176797,1.1296201426437262,2.0781249995099453,-2.8540407610577745e-05,-1.5486342430648392e-08,19.391909132745685,69.70288891355563,144.85085447310516,2.285714286570096,1.1296201398395738,2.0781250043562944,1.1988686283714856e-05,-8.74253842653161e-08,19.391771630632025,69.70211610634074,144.849860468141,2.283690899346442,1.1313479635816948,2.076579732568943,-0.005643781526353919,-0.0015838993018668646,19.399416032477184,69.74699207455761,144.94483266020978
9.25,2.285714283897097,1.1296201450325705,2.078124998229534,-2.8534588133233285e-05,-4.9012012226512525e-09,19.391909166791603,69.7028891372985,144.85085505344117,2.285714287636825,1.1296201367089047,2.0781250123169523,1.1958275067947e-05,-2.1090641588727976e-07,19.391771496708053,69.70211699265765,144.84986232122446,2.287887260588657,1.1277672878989775,2.0804011683037547,0.002605577787130109,-0.0001321316925801952,19.410998581960975,69.75372052436646,144.85184106983883
9.75,2.285714276832611,1.1296201555018417,2.0781249887092357,-2.8495075067525022e-05,4.939582654017727e-08,19.391909248250112,69.70288910255704,144.85085502025103,2.2857142869870115,1.12962013322521,2.078125025822682,1.1908366179369523e-05,-4.810572025171211e-07,19.39177117198778,69.70211853584385,144.84986528883135,2.287094012914004,1.129071228285585,2.078066646993562,-0.0008486807410319486,0.00950850730966124,19.393539396089782,69.7053617373084,144.69841603179304
10.25,2.285714249297057,1.1296201961468186,2.078124950195935,-2.833839791005488e-05,2.9249216293436575e-07,19.391909601452294,69.70288851973763,144.8508539166602,2.2857142756012894,1.129620141313911,2.078125037867716,1.1867001873611116e-05,-9.275519627927054e-07,19.391770645073553,69.7021212680888,144.84987032645972,2.2871220963968115,1.129429361372771,2.077096128843378,0.0027023155312413394,0.0039037582409617855,19.390642888179194,69.69092438682489,144.90004248945826
10.75,2.2857141600305404,1.1296203271798282,2.078124827629709,-2.784124888854933e-05,1.0682277267193285e-06,19.391910777560238,69.70288640503097,144.85084990383652,2.285714235521942,1.1296201934412298,2.0781250134472415,1.1953681455345588e-05,-1.3906747846625933e-06,19.39177010489885,69.7021253104031,144.84987729443858,2.2812866177925457,1.1315027711608694,2.078150379198823,-0.00440472676248671,-0.01726960555427448,19.362877074598277,69.68352902942596,144.66223259115614
11.25,2.2857139321333135,1.129620668477227,2.0781245196743057,-2.654081248021356e-05,2.960654340800062e-06,19.391913877065743,69.70288107798206,144.85084002256812,2.2857142139179687,1.1296202948670488,2.078124875832757,1.2370964891594838e-05,-1.1294142625573045e-06,19.391770054776753,69.70212998141784,144.84988453768963,2.2761134973638777,1.1357760275772955,2.0775162245284684,-0.0068428866454093296,-0.03167992272331244,19.38313321459066,69.73734756374304,144.73870771228115
11.75,2.285713589891257,1.1296213075044406,2.078123972656867,-2.365653928571021e-05,6.546796734063776e-06,19.391920412634892,69.70287098670774,144.8508230328638,2.28571481649776,1.1296200497482565,2.0781245583964174,1.3074632814635834e-05,2.4047485784883804e-06,19.391770567499464,69.70213297312426,144.84989028026982,2.2530025219947554,1.1462139160705986,2.0846001206827647,-0.014676381573305086,-0.10565685926305868,19.42156236455663,69.82950868844756,145.36960211826693
